Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount
Radial3D Inc.,https://www.crunchbase.com/organization/radial3d,"Hardware, Software, Health Care, Education","Honolulu, Hawaii, United States",Radial3D is a simple tool for 3D medical imaging,"34,755",12/1/16,,12/1/16,1,"$25,000 ",Seed,"$25,000 ","$25,000 ","$25,000 "
Stedi,https://www.crunchbase.com/organization/stedi,,"Boulder, Colorado, United States",A modern EDI platform to automate any B2B transaction.,"4,708",11/22/16,,7/10/17,2,"$2,700,000 ",Seed,"$2,700,000 ","$3,700,000 ","$3,700,000 "
Overtime,https://www.crunchbase.com/organization/overtime,Sports,"Brooklyn, New York, United States",Overtime is a cross-platform tech startup that's redefining high school and amateur sports through video.,"8,650",11/20/16,,2/22/17,1,"$2,500,000 ",Seed,"$2,500,000 ","$2,500,000 ","$2,500,000 "
Epimedica,https://www.crunchbase.com/organization/epimedica,,"San Francisco, California, United States","The best aesthetic medical offerings in different U.S. cities. Learn, compare and select from hundreds of doctors.","57,114",11/14/16,,11/14/16,1,"$500,000 ",Seed,"$500,000 ","$500,000 ","$500,000 "
"Agile Stacks, Inc",https://www.crunchbase.com/organization/agile-stacks-inc,,"San Mateo, California, United States",DevOps Automation Service that offers certified stacks for containers and microservices.,"10,891",11/1/16,,12/29/16,2,"$2,420,000 ",Seed,"$2,420,000 ","$2,530,000 ","$2,530,000 "
Beddr Sleep,https://www.crunchbase.com/organization/beddr-sleep,,"Mountain View, California, United States",We're about sleep and the important role that it plays in our lives.,"12,819",11/1/16,,1/1/16,1,"$2,300,000 ",Seed,"$2,300,000 ","$2,300,000 ","$2,300,000 "
Lightning MD,https://www.crunchbase.com/organization/lightning-md,Health Care,"Palm Desert, California, United States",Electronic Health Record and Revenue Cycle Management.,"22,967",11/1/16,,4/1/17,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Renly,https://www.crunchbase.com/organization/renly,"Commerce and Shopping, Real Estate, Consumer Goods, Internet Services","Manhattan Beach, California, United States","Renly is an Airbnb for commercial business space, connecting renters with sub-renters.","26,339",11/1/16,,5/15/17,1,"$300,000 ",Seed,"$300,000 ","$300,000 ","$300,000 "
DevGo,https://www.crunchbase.com/organization/devgo,,"Austin, Texas, United States",Platform for ongoing skills-transfer mentoring,"34,293",11/1/16,,1/1/17,1,"$90,000 ",Seed,"$90,000 ","$90,000 ","$90,000 "
LÃ©on & George,https://www.crunchbase.com/organization/leon-george,"Sustainability, Real Estate, Design","San Francisco, California, United States","Leon & George sells plants online for homes and offices, helping users to find the right plants given a certain environment.","39,399",11/1/16,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
"Intelligent Security Technology, LLC",https://www.crunchbase.com/organization/intelligent-security-technology-llc,,"Windber, Pennsylvania, United States","Intelligent Security Technology, LLC is the parent company behind the â€œOmnidirectional Vectoring & Responseâ€ù platform.","55,994",11/1/16,,1/1/17,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
"HAAWK, Inc.",https://www.crunchbase.com/organization/haawk-inc,"Media and Entertainment, Music and Audio, Internet Services, Video, Content and Publishing","Studio City, California, United States","HAAWK polices, administers, distributes, & licenses content to UGC video sites on behalf of copyright holders.","14,897",10/29/16,,4/4/17,1,"$2,000,000 ",Seed,"$2,000,000 ","$2,000,000 ","$2,000,000 "
Nile Delivery,https://www.crunchbase.com/organization/nile-delivery,"Real Estate, Administrative Services, Transportation","Dallas, Texas, United States","Agile, affordable material delivery for specialty supply trades.","21,728",10/28/16,,7/14/17,1,"$75,000 ",Seed,"$75,000 ","$75,000 ","$75,000 "
CAD.ai - Smart CAD API Platform,https://www.crunchbase.com/organization/cad-ai-smart-cad-api-platform,"Software, Design","Ogdensburg, New York, United States",Smart CAD API Platform. Unlocking the full potential of your CAD/CAM business or app.,"28,090",10/22/16,,10/22/16,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Relationship Hero,https://www.crunchbase.com/organization/relationship-hero,"Community and Lifestyle, Internet Services","San Francisco, California, United States",Relationship Hero connects people with a relationship expert in a private chatroom or over the phone.,"57,214",10/21/16,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
Envairo,https://www.crunchbase.com/organization/envairo,"Sustainability, Real Estate","Brooklyn, New York, United States",Envairo is a software platform that quantifies space use to optimize office buildings without installing new sensors.,"29,218",10/19/16,,3/2/17,2,"$60,000 ",Seed,"$60,000 ","$60,000 ","$60,000 "
Nautilus Labs,https://www.crunchbase.com/organization/nautilus-labs-2,"Data and Analytics, Software, Transportation, Artificial Intelligence","New York, New York, United States",We've created a proprietary data collection & storage system for the commercial shipping industry to help them burn up to 30% less fuel.,"8,464",10/18/16,,12/23/16,1,"$2,000,000 ",Seed,"$2,000,000 ","$2,000,000 ","$2,000,000 "
Biohemp Industries Inc.,https://www.crunchbase.com/organization/biohemp-industries-inc,,"Raleigh, North Carolina, United States",BIOHEMP USDA Certified Organic industrial Hemp grown for USDA certified organic CBD OIL & ISOLATES,"60,192",10/18/16,,4/1/17,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Growlabs,https://www.crunchbase.com/organization/growlabs,"Information Technology, Software, Sales and Marketing","San Francisco, California, United States",Growlabs is a startup using machine intelligence to support outbound sales teams,"5,464",10/16/16,,5/5/17,1,"$2,200,000 ",Seed,"$2,200,000 ","$2,200,000 ","$2,200,000 "
