Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount
"SwarmSales, Inc.",https://www.crunchbase.com/organization/swarmsales-inc,"Commerce and Shopping, Sales and Marketing","Pleasanton, California, United States",A Sales-as-a-Service Marketplace that Connects Businesses with Sales Experts to Close Deals with Targeted Accounts Faster.,"10,028",9/1/16,,9/1/16,1,"$1,200,000 ",Seed,"$1,200,000 ","$1,200,000 ","$1,200,000 "
Replogic,https://www.crunchbase.com/organization/replogic,,"New York, New York, United States",Replogic is a B2B software platform that helps brands and manufacturers' reps collaborate to bring great products to market.,"12,082",9/1/16,,6/1/17,2,"$650,000 ",Seed,"$650,000 ","$1,180,000 ","$1,180,000 "
UVeye,https://www.crunchbase.com/organization/uveye,"Hardware, Consumer Electronics, Transportation, Privacy and Security","New York, New York, United States",UVeye is a computer vision company that specializes in the design and building of state-of-the-art camera inspection systems for vehicles.,"12,552",9/1/16,,7/5/17,1,"$4,500,000 ",Seed,"$4,500,000 ","$4,500,000 ","$4,500,000 "
maroon.ai,https://www.crunchbase.com/organization/maroon-ai,Data and Analytics,"Philadelphia, Pennsylvania, United States",Maroon.ai is a predictive analytics platform that provides marketing intelligence to B2B companies.,"21,944",9/1/16,,1/12/17,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
"ShipLync, INC",https://www.crunchbase.com/organization/shiplync,"Transportation, Financial Services, Lending and Investments","Columbia, Maryland, United States",On-demand freight quote and trading marketplace,"22,595",9/1/16,,9/29/16,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
"Adlumin, Inc",https://www.crunchbase.com/organization/adlumin-inc,"Hardware, Software","Arlington, Virginia, United States",Adlumin detects and stops identity based attacks.,"25,801",9/1/16,,10/28/16,1,"$300,000 ",Seed,"$300,000 ","$300,000 ","$300,000 "
YouWorld,https://www.crunchbase.com/organization/youworld,"Travel and Tourism, Sales and Marketing, Advertising","Pasadena, California, United States","Plugs into WeChat, Alipay and Ctrip to deliver mobile contextual experience and offers","28,816",9/1/16,,10/1/16,1,"$350,000 ",Seed,"$350,000 ","$350,000 ","$350,000 "
GamerzArena,https://www.crunchbase.com/organization/gamerzarena,,"Chicago, Illinois, United States",GamerzArena provides everyone with the platform to compete in eSports for cash prizes or sponsored product at any time,"31,115",9/1/16,,1/1/17,1,"$200,000 ",Seed,"$200,000 ","$200,000 ","$200,000 "
MediK8Mobile Inc,https://www.crunchbase.com/organization/medik8mobile-inc,"Health Care, Mobile","Irvine, California, United States","Medik8Mobile is a leader in the convenient, secure, and HIPAA-compliant delivery of medical cannabis to patients.","23,377",8/31/16,,11/30/16,1,"$420,000 ",Seed,"$420,000 ","$420,000 ","$420,000 "
Mothership Aeronautics,https://www.crunchbase.com/organization/mothership-aeronautics,,"South San Francisco, California, United States",High endurance autonomous aircraft,"31,754",8/28/16,,1/31/17,2,"$300,000 ",Seed,"$300,000 ","$325,000 ","$325,000 "
8th Wall,https://www.crunchbase.com/organization/8th-wall,"Platforms, Hardware, Software, Mobile","Palo Alto, California, United States",8th Wallâ€™s mission is to break the wall between the digital world and the physical world.,"6,449",8/25/16,,11/23/16,1,"$2,400,000 ",Seed,"$2,400,000 ","$2,400,000 ","$2,400,000 "
GD Analytics,https://www.crunchbase.com/organization/gupta-daniel,"Data and Analytics, Sales and Marketing","Berkeley, California, United States",Marketing & analytics SaaS provider for cannabis dispensaries.,"39,766",8/22/16,,8/22/16,1,"$25,000 ",Seed,"$25,000 ","$25,000 ","$25,000 "
Shift,https://www.crunchbase.com/organization/shift-12,Professional Services,"San Francisco, California, United States",Discover veterans who have commanded large units and complex operations â€” delivered to your inbox weekly.,"15,361",8/19/16,,8/19/16,1,"$500,000 ",Seed,"$500,000 ","$500,000 ","$500,000 "
Steel Mountain Systems Corp.,https://www.crunchbase.com/organization/steel-mountain-systems-corp,,"Washington, District of Columbia, United States",We protect all the devices in your home with enterprise level security that simply plugs into your router.,"31,556",8/19/16,,8/20/16,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
NS8 Inc,https://www.crunchbase.com/organization/ns8-inc,"Commerce and Shopping, Information Technology, Data and Analytics, Software, Payments, Privacy and Security, Financial Services, Artificial Intelligence","Herndon, Virginia, United States","NS8 Provides Online Business Fraud, Abuse and User Experience Protection","49,116",8/18/16,,4/24/17,4,"$250,000 ",Seed,"$250,000 ","$1,375,000 ","$1,375,000 "
CoolJonny Inc,https://www.crunchbase.com/organization/cooljonny-inc,"Software, Internet Services","Miami, Florida, United States",Gig Economy / Marketplace for Services,"51,467",8/18/16,,1/10/16,1,"$500,000 ",Seed,"$500,000 ","$500,000 ","$500,000 "
Distance Rides,https://www.crunchbase.com/organization/distance-rides,"Travel and Tourism, Transportation","Clearwater Beach, Florida, United States",Long-distance ride share company for college students.,"36,644",8/16/16,,4/10/17,1,"$10,000 ",Seed,"$10,000 ","$10,000 ","$10,000 "
RepHike,https://www.crunchbase.com/organization/rephike,"Sales and Marketing, Internet Services","Buffalo, New York, United States",RepHike enables brands to connect with student clubs and campus reps to evangelize their products and manage their brand ambassador program,"38,505",8/16/16,,5/25/17,1,"$25,000 ",Seed,"$25,000 ","$25,000 ","$25,000 "
Omnify Inc,https://www.crunchbase.com/organization/omnify-inc,,"Mountain View, California, United States",Omnify is a Global SaaS platform for Small Services Business,"23,560",8/15/16,,4/11/17,1,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
Zikher,https://www.crunchbase.com/organization/zikher-inc-,Financial Services,"San Francisco, California, United States",Digital Lending Platform,"11,400",8/13/16,,4/20/17,2,"$107,500 ",Seed,"$107,500 ","$257,500 ","$257,500 "
"Elegus EPS, LLC",https://www.crunchbase.com/organization/elegus-eps-llc,"Energy, Hardware, Consumer Electronics","Ann Arbor, Michigan, United States",Elegus EPS commercializies high performance Li-ion battery separators.,"23,237",8/12/16,,8/12/16,1,"$1,500,000 ",Seed,"$1,500,000 ","$1,500,000 ","$1,500,000 "
Everythink,https://www.crunchbase.com/organization/everythink,,"San Francisco, California, United States",Connecting comunities with a personal assistant and their own brand,"61,201",8/9/16,,1/1/17,1,"$130,000 ",Seed,"$130,000 ","$130,000 ","$130,000 "
dipp,https://www.crunchbase.com/organization/dipp,"Travel and Tourism, Data and Analytics, Software, Artificial Intelligence","New York, New York, United States","dipp is an A.I. travel discovery and planning platform, delivering travelers personalized content based on their social media networks..","61,883",8/8/16,,7/12/16,1,"$45,000 ",Seed,"$45,000 ","$45,000 ","$45,000 "
Netsecop,https://www.crunchbase.com/organization/netsecop,,"Santa Clara, California, United States",Vulnerability and malware scanner for websites (SaaS),"47,992",8/4/16,,9/1/16,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
Finxact,https://www.crunchbase.com/organization/finxact,"Software, Financial Services, Lending and Investments","Jacksonville, Florida, United States",Finxact is innovating the first enterprise class public cloud/private data Core-as-a-Service platform with a completely open banking API.,"3,345",8/1/16,,5/9/17,1,"$12,000,000 ",Seed,"$12,000,000 ","$12,000,000 ","$12,000,000 "
Mobalytics,https://www.crunchbase.com/organization/mobalytics-2,"Gaming, Data and Analytics, Software, Sports, Education, Artificial Intelligence","Santa Monica, California, United States",Mobalytics is the first personal performance analytics for competitive gamers and esports.,"3,420",8/1/16,,11/16/16,1,"$2,600,000 ",Seed,"$2,600,000 ","$2,600,000 ","$2,600,000 "
MojiLaLa,https://www.crunchbase.com/organization/mojilala,"Apps, Commerce and Shopping, Software, Consumer Goods, Mobile","San Francisco, California, United States",MojiLaLa is an emoji marketplace for independent artists and studios from around the world.,"3,923",8/1/16,,8/8/17,2,"$1,500,000 ",Seed,"$1,500,000 ","$1,500,000 ","$1,500,000 "
Via Science,https://www.crunchbase.com/organization/via-science,"Science and Engineering, Data and Analytics, Software, Artificial Intelligence","Somerville, Massachusetts, United States","Via Scienceâ€™s software identifies and prioritizes risks to critical infrastructure using AI, HPC, and causal analytics.","14,361",8/1/16,,11/1/16,1,"$2,000,000 ",Seed,"$2,000,000 ","$2,000,000 ","$2,000,000 "
rakam,https://www.crunchbase.com/organization/rakam,"Data and Analytics, Software","Mountain View, California, United States",rakam is a full-stack analytics platform that allows companies to create analytics services based on their needs,"20,429",8/1/16,,6/16/17,1,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
Sunrise Health,https://www.crunchbase.com/organization/sunrise-health,"Science and Engineering, Data and Analytics, Software, Health Care, Artificial Intelligence","Baltimore, Maryland, United States",Sunrise Health has developed the first mobile app for anonymous group psychotherapy that uses AI to scale within enterprises.,"20,605",8/1/16,,2/1/17,2,"$120,000 ",Seed,"$120,000 ","$120,000 ","$160,000 "
cQuant.io,https://www.crunchbase.com/organization/cquant-io,,"Louisville, Colorado, United States",cQuant.io is changing the way energy companies access analytic tools through a powerful new software-as-a-service platform.,"22,908",8/1/16,,8/3/17,1,"$200,000 ",Seed,"$200,000 ","$200,000 ","$200,000 "
Global Sports Inc.,https://www.crunchbase.com/organization/global-sports-fund,"Sports, Financial Services, Lending and Investments","New York, New York, United States","Global Sports Inc. is a sports crowdfunding platform that connects sports fans with sports startups, charities and athletes.","23,801",8/1/16,,5/13/17,2,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
Little Fly Labs,https://www.crunchbase.com/organization/little-fly-labs,"Biotechnology, Science and Engineering","Los Alamos, New Mexico, United States","Little Fly Labs is a biotechnology company focusing on global virus disease control in mosquitoes, agriculture and aquaculture.","24,481",8/1/16,,12/1/16,1,"$500,000 ",Seed,"$500,000 ","$500,000 ","$500,000 "
"Umbo, Inc.",https://www.crunchbase.com/organization/umbo-inc,"Hardware, Consumer Electronics, Community and Lifestyle, Software","San Francisco, California, United States","Umbo emulates augmented reality throughout your home with automated displays, and gesture control for easy navigation.","26,260",8/1/16,,8/24/16,1,"$125,500 ",Seed,"$125,500 ","$125,500 ","$125,500 "
Marvelmind Robotics,https://www.crunchbase.com/organization/marvelmind-robotics,"Science and Engineering, Hardware, Navigation and Mapping, Software, Internet Services","Sunnyvale, California, United States","Marvelmind is a robotics company. We design, manufacture and sell robots and robotic systems.","28,276",8/1/16,,2/2/17,1,"$88,000 ",Seed,"$88,000 ","$88,000 ","$88,000 "
Fabric,https://www.crunchbase.com/organization/fabric-app,"Media and Entertainment, Navigation and Mapping, Data and Analytics, Internet Services, Content and Publishing","San Francisco, California, United States",Fabric is a personal location-based journal that catalogs your experiences and interactions.,"29,152",8/1/16,,8/23/16,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
The Innovation Scout,https://www.crunchbase.com/organization/the-innovation-scout,,"United States, North America","We use Artificial Intelligence, Machine Learning to match startups and other open innovation with corporate innovation strategy.","32,318",8/1/16,,10/1/16,1,"$65,000 ",Seed,"$65,000 ","$65,000 ","$65,000 "
BEXI.IO,https://www.crunchbase.com/organization/bexi-io,,"San Leandro, California, United States",Bexi is a creative services delivery platform that provides results-driven brand experiences through an open-scope framework. bexi.io,"33,377",8/1/16,,8/1/16,1,"$300,000 ",Seed,"$300,000 ","$300,000 ","$300,000 "
"SpyCloud, Inc.",https://www.crunchbase.com/organization/spycloud-inc,,"Austin, Texas, United States",SpyCloud offers industry-leading early warning solutions to businesses to prevent employee and customer account compromises.,"47,213",8/1/16,,6/1/17,1,"$2,500,000 ",Seed,"$2,500,000 ","$2,500,000 ","$2,500,000 "
KapitalWise,https://www.crunchbase.com/organization/kapitalwise,Financial Services,"New York, New York, United States",Micro Investments powered by predictive analytics,"30,232",7/25/16,,4/11/17,1,"$90,000 ",Seed,"$90,000 ","$90,000 ","$90,000 "
"Snugb, Inc.",https://www.crunchbase.com/organization/snugb-inc,"Software, Internet Services","Elm Grove, Wisconsin, United States",Snugb creates smart baby monitor to keep babies snug.,"41,166",7/25/16,,9/8/16,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
City Share Living,https://www.crunchbase.com/organization/city-share-living,,"New York, New York, United States",City Share Living is a rapidly growing hospitality and real estate startup based in NYC,"8,301",7/22/16,,7/10/17,2,"$2,500,000 ",Seed,"$2,500,000 ","$3,500,000 ","$3,500,000 "
AssetRover,https://www.crunchbase.com/organization/assetrover,"Commerce and Shopping, Real Estate, Professional Services, Financial Services","Cedar Rapids, Iowa, United States",We simplify real estate investing through education and powerful tools for the common real estate investor.,"45,043",7/22/16,,8/1/16,2,"$20,000 ",Seed,"$20,000 ","$20,000 ","$25,000 "
voie,https://www.crunchbase.com/organization/voie,Real Estate,"Shelley, Idaho, United States","On Demand Real Estate Services, simply no commissions.","59,227",7/21/16,,7/21/16,1,"$160,000 ",Seed,"$160,000 ","$160,000 ","$160,000 "
Homee,https://www.crunchbase.com/organization/homee-3,"Apps, Software, Mobile","Tampa, Florida, United States","Homee turns your phone into a heat-seeking magician scavenging the world for well-priced, qualified home-service technicians and handymen.","13,235",7/15/16,,6/21/17,1,"$2,800,000 ",Seed,"$2,800,000 ","$2,800,000 ","$2,800,000 "
"Sonotes, Inc.",https://www.crunchbase.com/organization/sonotes-inc,"Travel and Tourism, Commerce and Shopping, Community and Lifestyle, Internet Services","New York, New York, United States",Places You'll Love By People You Know,"28,592",7/15/16,,7/4/16,2,"$85,000 ",Seed,"$85,000 ","$85,000 ","$85,000 "
FanAI Inc.,https://www.crunchbase.com/organization/fanai-inc,,"Santa Monica, California, United States",FanAI is an AI-driven Audience Monetization platform focusing first on esports.,"24,046",7/13/16,,7/24/17,1,"$1,800,000 ",Seed,"$1,800,000 ","$1,800,000 ","$1,800,000 "
Bainbridge Health,https://www.crunchbase.com/organization/bainbridge-health,Health Care,"Philadelphia, Pennsylvania, United States","A spinout of The Children's Hospital of Philadelphia, Bainbridge Health's SaaS platform is making the hospital a safer place","14,260",7/7/16,,4/10/17,2,"$1,300,000 ",Seed,"$1,300,000 ","$1,300,000 ","$1,300,000 "
Feel VR,https://www.crunchbase.com/organization/feelvr,"Gaming, Hardware, Software","Walnut, California, United States",Affordable motion simulator for VR,"33,270",7/7/16,,7/7/16,1,"$40,000 ",Seed,"$40,000 ","$40,000 ","$40,000 "
CORA,https://www.crunchbase.com/organization/cora-3,"Media and Entertainment, Information Technology, Internet Services, Messaging and Telecommunications, Mobile","San Francisco, California, United States",Mobile only MarCom automation for Freelancers,"57,088",7/3/16,,2/17/16,1,"$25,000 ",Seed,"$25,000 ","$25,000 ","$25,000 "
Square Roots Urban Growers,https://www.crunchbase.com/organization/square-roots-urban-growers,"Agriculture and Farming, Food and Beverage","Brooklyn, New York, United States",Square Roots Urban Growers is a farming accelerator that assists companies in creating local food businesses.,"1,116",7/1/16,,8/23/17,1,"$5,400,000 ",Seed,"$5,400,000 ","$5,400,000 ","$5,400,000 "
Headnote,https://www.crunchbase.com/organization/headnote,"Professional Services, Financial Services","San Francisco, California, United States",Streamlined Payments & Workflow For The Transactional Legal Network,"17,595",7/1/16,,9/8/16,1,"$370,000 ",Seed,"$370,000 ","$370,000 ","$370,000 "
Ori.ai,https://www.crunchbase.com/organization/1healthy-world-inc,"Health Care, Mobile","Washington, District of Columbia, United States",Ori is an AI-powered navigator that bridges the gap between care teams and their patients.,"18,350",7/1/16,,4/27/17,2,"$500,000 ",Seed,"$500,000 ","$600,000 ","$600,000 "
Seek,https://www.crunchbase.com/organization/seek-5,"Apps, Hardware, Software, Sales and Marketing, Mobile, Advertising","Utah, United States, North America","Seek is an augmented reality, location-based app that is free for users and allows them to win real prizes from local and national brands.","24,394",7/1/16,,3/5/17,1,"$457,000 ",Seed,"$457,000 ","$457,000 ","$457,000 "
Gathrly,https://www.crunchbase.com/organization/gathrly,"Commerce and Shopping, Media and Entertainment, Events, Sales and Marketing, Internet Services","Portland, Oregon, United States",Gathrly aggregates 150M+ events to provide a powerful searchable event marketplace for brands to directly engage with event organizers.,"30,209",7/1/16,,1/1/17,2,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Be1,https://www.crunchbase.com/organization/be1,,"Russia, Ohio, United States",Easy SEO Analytics,"46,154",7/1/16,,6/1/16,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
Frizbit,https://www.crunchbase.com/organization/frizbit,"Data and Analytics, Software, Sales and Marketing, Internet Services, Artificial Intelligence","Newark, Delaware, United States",Frizbit is a marketing automation tool using browser push notifications.,"70,208",7/1/16,,11/28/16,1,"â‚¬15,000",Seed,"â‚¬15,000","$15,880 ","$15,880 "
Axis API,https://www.crunchbase.com/organization/axis-api,"Information Technology, Software, Internet Services, Mobile","Dallas, Texas, United States",Hosted solution for you web services needs. No coding needed. Design API using a GUI Tool.,"52,945",6/30/16,,7/1/16,1,"$20,000 ",Seed,"$20,000 ","$20,000 ","$20,000 "
Cargo,https://www.crunchbase.com/organization/cargo-3,,"New York, New York, United States",Cargo helps rideshare drivers earn more money and better ratings by providing products to passengers on the go.,"2,233",6/26/16,,7/21/17,3,"$1,750,000 ",Seed,"$1,750,000 ","$1,750,000 ","$1,750,000 "
Aingel Corp.,https://www.crunchbase.com/organization/aingel,"Science and Engineering, Data and Analytics, Software, Artificial Intelligence","San Jose, California, United States",Aingel is an AI-driven analytics platform that matches startups with their ideal VCs and helps them fundraise faster,"20,434",6/25/16,,9/22/16,1,"$550,000 ",Seed,"$550,000 ","$550,000 ","$550,000 "
PingGPS Inc,https://www.crunchbase.com/organization/chirp-innovations-inc,,"Cornelius, North Carolina, United States","PingGPS produces Ping, the world's easiest and most versatile GPS locators","19,240",6/17/16,,7/20/16,1,"$550,000 ",Seed,"$550,000 ","$550,000 ","$550,000 "
Airlitix,https://www.crunchbase.com/organization/airlitix,"Science and Engineering, Hardware, Consumer Electronics, Software, Consumer Goods, Privacy and Security","San Jose, California, United States",Airlitix is a security company specializing in autonomous indoor security drones.,"57,076",6/17/16,,6/7/17,1,"$77,000 ",Seed,"$77,000 ","$77,000 ","$77,000 "
Botanalytics,https://www.crunchbase.com/organization/botanalytics,"Information Technology, Data and Analytics, Software, Internet Services, Messaging and Telecommunications","San Francisco, California, United States",Conversational analytics for bots,"64,308",6/15/16,,5/28/17,2,"â‚¬270,000",Seed,"â‚¬270,000","$301,964 ","$301,964 "
RealtyReturns,https://www.crunchbase.com/organization/realtyreturns-com,"Commerce and Shopping, Real Estate, Financial Services","San Francisco, California, United States","We're an online real estate investment and crowdfunding platform for accredited and non-accredited investors, as well as institutions","38,036",6/13/16,,10/24/16,1,"$25,000 ",Seed,"$25,000 ","$25,000 ","$25,000 "
MILLEBOT INC.,https://www.crunchbase.com/organization/millebot-inc,"Manufacturing, Commerce and Shopping","Orlando, Florida, United States",On-Demand Large 3D Printers from Recycled Cargo Containers.,"42,773",6/11/16,,7/1/16,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Rapunzl - Invest Smarter,https://www.crunchbase.com/organization/rapunzl-invest-smarter,,"Chicago, Illinois, United States",Rapunzl uses transparent portfolios to create an investor community that allows users to crowdsource investment decisions from their peers.,"22,753",6/10/16,,3/2/17,1,"$220,000 ",Seed,"$220,000 ","$220,000 ","$220,000 "
PlurBox,https://www.crunchbase.com/organization/plurbox,,"Palm Springs, California, United States",PlurBox was founded around a simple idea: put the experience of a music festival in a box and connect the community with new experiences.,"40,862",6/10/16,,2/6/16,1,"$86,000 ",Seed,"$86,000 ","$86,000 ","$86,000 "
HydroNOx Inc.,https://www.crunchbase.com/organization/hydronox-inc,,"Roslyn, New York, United States","HydroNOx designs, manufactures and sells plasma-based water treatment systems for agriculture","48,962",6/10/16,,6/10/16,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
MicroSprint (TM),https://www.crunchbase.com/organization/microsprint-tm,"Financial Services, Lending and Investments","San Francisco, California, United States",MicroSprint (TM) provides productivity management service.,"40,525",6/6/16,,6/10/16,2,"$100,000 ",Seed,"$100,000 ","$200,000 ","$200,000 "
dot Learn,https://www.crunchbase.com/organization/dot-learn,,"New York, New York, United States",dot Learn uses proprietary video compression techology to deliver low-bandwidth online courses in Africa,"55,856",6/6/16,,7/6/17,2,"$75,000 ",Seed,"$75,000 ","$75,000 ","$125,000 "
Spacelet,https://www.crunchbase.com/organization/spacelet,"Commerce and Shopping, Real Estate","Long Island City, New York, United States","Search, find, view and apply for your next apartment all through the Spacelet platform.","56,475",6/6/16,,6/6/16,1,"$35,000 ",Seed,"$35,000 ","$35,000 ","$35,000 "
"StreetGreen, LLC",https://www.crunchbase.com/organization/streetgreen-llc,,"Dallas, Texas, United States",An incredibly powerful technology that creates a dynamic & trackable OOH advertising technology and channel called Trailerskirt Advertising,"32,397",6/5/16,,4/3/17,1,"$75,000 ",Seed,"$75,000 ","$75,000 ","$75,000 "
TellusLabs,https://www.crunchbase.com/organization/telluslabs,"Agriculture and Farming, Navigation and Mapping, Data and Analytics, Software, Internet Services, Artificial Intelligence","Somerville, Massachusetts, United States",TellusLabs is a satellite imagery and machine learning company.,"3,396",6/1/16,,1/17/17,1,"$3,100,000 ",Seed,"$3,100,000 ","$3,100,000 ","$3,100,000 "
Crossing Minds,https://www.crunchbase.com/organization/crossing-minds,"Science and Engineering, Data and Analytics, Software, Artificial Intelligence","San Francisco, California, United States",Next-generation artificial intelligence.,"7,116",6/1/16,,7/15/17,1,"$3,500,000 ",Seed,"$3,500,000 ","$3,500,000 ","$3,500,000 "
Hungry Marketplace,https://www.crunchbase.com/organization/hungry-marketplace,"Commerce and Shopping, Food and Beverage, Internet Services","Arlington, Virginia, United States",Hungry Marketplace is a food-tech catering company that connect customers to chefs & delivers fresh food from these chefs to the customers.,"7,127",6/1/16,,11/7/16,1,"$1,700,000 ",Seed,"$1,700,000 ","$1,700,000 ","$1,700,000 "
Markett,https://www.crunchbase.com/organization/markett,"Media and Entertainment, Sales and Marketing, Content and Publishing","Venice, California, United States",The Future of Marketing,"8,164",6/1/16,,7/7/17,3,"$2,000,000 ",Seed,"$2,000,000 ","$2,000,000 ","$2,000,000 "
TransFX,https://www.crunchbase.com/organization/transvix,"Commerce and Shopping, Transportation, Financial Services","Chattanooga, Tennessee, United States",Provider of financial contracts and market data for the North American trucking industry.,"8,711",6/1/16,,9/14/16,1,"$2,000,000 ",Seed,"$2,000,000 ","$2,000,000 ","$2,000,000 "
Contiq Inc.,https://www.crunchbase.com/organization/contiq-inc,,"San Jose, California, United States",Simplified content discovery and creation for enterprise sales and marketing,"11,407",6/1/16,,12/20/16,1,"$3,000,000 ",Seed,"$3,000,000 ","$3,000,000 ","$3,000,000 "
"Inspirit IoT, Inc",https://www.crunchbase.com/organization/inspirit-iot-inc,"Consumer Electronics, Real Estate, Health Care, Internet Services, Privacy and Security","Champaign, Illinois, United States",Inspirit IoT is the leader in accelerated audio vision machine learning components for IoT applications.,"13,952",6/1/16,,11/5/16,1,"$600,000 ",Seed,"$600,000 ","$600,000 ","$600,000 "
"Baarb, Inc.",https://www.crunchbase.com/organization/baarb-inc,"Science and Engineering, Travel and Tourism, Commerce and Shopping, Data and Analytics, Software, Artificial Intelligence, Mobile","Los Angeles, California, United States",Baarb is using AI to take the pain out of booking hotels by delivering relevant search results that are personalized to the traveler.,"14,269",6/1/16,,1/1/17,2,"$100,000 ",Seed,"$100,000 ","$300,000 ","$300,000 "
Apostrophe,https://www.crunchbase.com/organization/apostrophe-inc,Health Care,"Denver, Colorado, United States",Apostrophe is part technology startup and part healthcare disruptor.,"14,516",6/1/16,,5/18/17,2,"$1,152,943 ",Seed,"$1,152,943 ","$1,252,943 ","$1,252,943 "
RobotX Space,https://www.crunchbase.com/organization/robotx-space,"Science and Engineering, Real Estate, Data and Analytics, Software, Financial Services, Lending and Investments, Artificial Intelligence","Santa Clara, California, United States",RobotX Space is the leading global coworking space focusing on AI.,"16,286",6/1/16,,12/1/16,2,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
IA3 Inc,https://www.crunchbase.com/organization/ia3-inc,"Manufacturing, Science and Engineering, Real Estate, Internet Services","Anchorage, Alaska, United States",IIot industrial process PaaS solution for small to medium size process facilities.,"22,728",6/1/16,,5/1/17,3,"$150,000 ",Seed,"$150,000 ","$490,000 ","$490,000 "
Ommy by Emoji Apps Inc.,https://www.crunchbase.com/organization/ommy-by-emoji-apps-inc,"Apps, Software","Dover, Delaware, United States",Ommy is a new app that allows you to create animated emoticons and stickers of your own face using sophisticated AI and neural networks.,"22,757",6/1/16,,2/15/17,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
SWQITY,https://www.crunchbase.com/organization/swqity,"Information Technology, Data and Analytics, Software, Artificial Intelligence, Mobile","Charleston, South Carolina, United States","SWQITY is a connection and technology company, building applications and products allowing secure, instant access to data anywhere.","22,975",6/1/16,,10/15/16,2,"$150,000 ",Seed,"$150,000 ","$250,000 ","$250,000 "
Sweet,https://www.crunchbase.com/organization/sweet-2,"Software, Sales and Marketing, Payments, Financial Services","New York, New York, United States",The Social Action Marketplace,"27,372",6/1/16,,3/1/17,1,"$774,000 ",Seed,"$774,000 ","$774,000 ","$774,000 "
Astra Spacelines,https://www.crunchbase.com/organization/astra-spacelines,Transportation,"Sugar Grove, Illinois, United States","Space Transportation offering safe, frequent, and affordable flights to space for both passengers and freight.","37,068",6/1/16,,6/1/16,1,"$380,000 ",Seed,"$380,000 ","$380,000 ","$380,000 "
"Visual Semantics, Inc.",https://www.crunchbase.com/organization/visual-semantics-inc,,"Austin, Texas, United States",Real-time artificial intelligence on embedded devices with high-performance computing in the cloud.,"38,692",6/1/16,,9/1/16,1,"$400,000 ",Seed,"$400,000 ","$400,000 ","$400,000 "
Workep,https://www.crunchbase.com/organization/workep,"Hardware, Consumer Electronics, Software","Miami, Florida, United States",The first project management platform for G Suite that centralizes all services in one place and automatizes tasks.,"40,137",6/1/16,,8/10/16,1,"$70,000 ",Seed,"$70,000 ","$70,000 ","$70,000 "
Neighborly Software,https://www.crunchbase.com/organization/neighborly-software,,"Atlanta, Georgia, United States","Neighborly Software improves the administrative efficiency and regulatory compliance of housing, economic and community development programs","41,996",6/1/16,,3/1/17,1,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
Sentrys,https://www.crunchbase.com/organization/sentrys,,"Plainfield, Illinois, United States",Data privacy and data ownership control in multiple credentials case,"43,578",6/1/16,,1/17/17,1,"$40,000 ",Seed,"$40,000 ","$40,000 ","$40,000 "
Likely AI,https://www.crunchbase.com/organization/likely-ai,,"Birmingham, Alabama, United States",We make images successful.,"47,670",6/1/16,,1/1/17,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
"Rebate Bus, LLC",https://www.crunchbase.com/organization/rebate-bus-llc,"Energy, Commerce and Shopping, Sustainability","St Louis, Missouri, United States",Utility Rebates Simplified. Rebate data available via API for any utility program across North America.,"48,952",6/1/16,,7/1/17,2,"$100,000 ",Seed,"$100,000 ","$200,000 ","$200,000 "
MovieRipe,https://www.crunchbase.com/organization/movieripe,,"London, Kentucky, United States",MovieRipe is an online video Entertainment streaming service. Our services are based around the Movie industry and Games.,"30,302",5/30/16,,2/22/17,2,"$10,000 ",Seed,"$10,000 ","$12,436 ","$12,436 "
Livo Mobile,https://www.crunchbase.com/organization/livo-mobile,"Apps, Software, Mobile","Walnut Creek, California, United States",Mobile Application Development & Management Cloud Platform,"10,115",5/26/16,,4/1/17,1,"$400,000 ",Seed,"$400,000 ","$400,000 ","$400,000 "
