Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage,Total Visits,Avg Visit Duration,Pages Per Visit,Bounce Rate
Ring,2012-01-01,,6,2017-01-25,109000000,209200000,Operating,Series D,109000000,2017-01-25,66074e0b5c4ee064f9e729c53804d9ae,https://ring.com,4.33M,00:03:30,3.14,45.49%
Rubrik,2014-01-01,,4,2017-04-28,180000000,292000000,Operating,Series D,180000000,2017-04-28,3169f93d9821bb4c4257e6b64805977a,http://rubrik.com/,120.43K,00:03:55,3.46,41.10%
Snowflake Computing,2012-01-01,,4,2017-04-05,100000000,205000000,Operating,Series D,100000000,2017-04-05,b0544b082ffb5928301f14086ddac58b,http://www.snowflake.net/,58.76K,00:03:15,3.45,40.62%
Super Evil Mega Corp,2012-01-01,,6,2017-08-09,19000000,61000000,Operating,Series D,19000000,2017-08-09,613edad55018ac1dd1faa19adacfc749,http://www.superevilmegacorp.com,96.01K,00:00:19,1.32,40.96%
Tarveda Therapeutics,2012-01-01,,6,2017-02-02,30000000,113801164,Operating,Series D,30000000,2017-02-02,40d0143842f86ace6cd0f49bc8617ec3,http://www.tarveda.com/,<12K,00:01:45,2.57,26.45%
Tastemade,2012-01-01,,4,2015-12-17,40000000,80300000,Operating,Series D,40000000,2015-12-17,c40e57525ab0ad549199ca8a477b9e7a,http://www.tastemade.com,2.61M,00:02:14,2.38,64.76%
TrendKite,2012-01-01,,6,2016-11-04,16300000,36617202,Operating,Series D,16300000,2016-11-04,6866f533ccccc8c56a705aeb4a348202,http://trendkite.com,65.02K,00:05:50,4.15,42.64%
True North Therapeutics,2013-01-01,,4,2016-10-18,45000000,142000000,Was Acquired,Series D,45000000,2016-10-18,e688368d44abddace2dfa371292d4896,http://www.truenorthrx.com/,<12K,00:01:27,1.80,40.04%
Upstart,2012-04-01,,5,2017-03-02,32500000,85650000,Operating,Series D,32500000,2017-03-02,db48dad8a35fede79df39a0397a0291e,http://www.upstart.com,286.40K,00:05:20,4.78,17.48%
"VeloCloud, Inc.",2012-01-01,,3,2017-03-02,35000000,84000000,Operating,Series D,35000000,2017-03-02,b383bd9cd4d0f94e31e1f114d930a721,http://www.velocloud.com,25.10K,00:04:11,4.52,37.60%
honeygrow,2012-01-01,,2,2016-11-17,20000000,45000000,Operating,Series D,20000000,2016-11-17,3826eca93eb0118a76c1667fc2ddf0ff,http://www.honeygrow.com/,21.29K,00:01:23,2.58,29.67%
