Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage,Total Visits,Avg Visit Duration,Pages Per Visit,Bounce Rate
Last Guide,2013-01-01,2015-08-01,1,2014-04-10,2100000,2100000,Closed,Seed,2100000,4/10/2014,fccafc13b1e34b9e3c0ad4591b18660d,http://last.co,<12K,N/A,1.00,100.00%
Lily,2013-09-01,2017-01-01,3,2015-12-17,14000000,15000000,Closed,Series A,14000000,12/17/2015,bf593ace4ea4a3afbe761437bb8b5738,https://www.lily.camera,114.76K,00:00:54,1.77,32.15%
Lingorami,2012-11-01,,1,2012-10-26,40000,40000,Closed,Seed,40000,10/26/2012,c892f6cb61577045e0821b26f75817d8,http://www.lingorami.com,<12K,N/A,N/A,N/A
Livrada,2012-01-01,2016-12-01,2,2013-02-11,1000000,1410816,Closed,Seed,410816,10/23/2012,9bdfcb2ba72e6ea6066f30282a738d80,http://www.livrada.com,<12K,00:00:01,2.00,N/A
Locish,2013-02-21,,2,2014-03-20,820000,898130,Closed,Seed,60000,3/3/2013,ca068c4a0d1fc2d5ef11c3051ce6a6e5,http://www.locish.com,<12K,N/A,1.00,100.00%
MAGNIFI,2013-01-01,2016-08-01,1,2013-10-08,9350000,9350000,Closed,Series A,9350000,10/8/2013,4b4411317d6f679cbd181991961c89a3,http://magnifi.fm,<12K,00:00:11,1.86,14.10%
Marvin,2013-01-01,2014-01-01,1,2013-09-01,10000,10000,Closed,Seed,10000,9/1/2013,4d28cdd7460e05f3698fab30135276c4,http://marvincar.com,<12K,N/A,1.00,100.00%
MedGRC,2013-01-01,,1,2013-01-01,80000,80000,Closed,Seed,80000,1/1/2013,7ed2dbfe226623e63847c56f2a38ff53,https://www.medgrc.com,<12K,N/A,N/A,N/A
"Mind Pirate, Inc.",2012-01-01,2014-12-31,1,2013-07-11,2500000,2500000,Closed,Seed,2500000,7/11/2013,8adb8993920d848f21cd288334de9699,http://mindpirate.com,<12K,N/A,N/A,N/A
Modabound,2013-02-01,,1,2013-07-02,120000,120000,Closed,Seed,120000,7/2/2013,6491158c3cbec305bc0faafd95580a3a,http://www.modabound.com,<12K,N/A,1.00,100.00%
Monthlys,2012-01-01,,1,2012-03-01,1000000,1000000,Closed,Seed,1000000,3/1/2012,c014a348b33e104caa9fe05769cadc30,http://www.monthlys.com,<12K,N/A,N/A,N/A
Nalace Corporation,2012-01-01,,1,2012-04-19,19000,19000,Closed,Seed,19000,4/19/2012,64999fd1d6b3251e4fd74ecc8811d5b8,http://www.nalace.com,<12K,N/A,N/A,N/A
Nitrous,2012-07-01,2016-11-14,2,2014-03-18,6650000,7650000,Closed,Series A,6650000,3/18/2014,f4c94c311b812aa20628f1c32ba52c88,http://www.nitrous.io,24.88K,00:00:20,1.62,63.58%
NoviMedicine,2012-01-01,2014-01-01,1,2012-06-01,20000,20000,Closed,Seed,20000,6/1/2012,f0236b52bb995886304dadcd0d42c9ac,http://www.novimedicine.com,<12K,N/A,N/A,N/A
Operating Analytics,2013-02-01,2014-12-31,1,2013-06-01,50000,50000,Closed,Seed,50000,6/1/2013,f225d4057a9433fc090b7738186795a9,http://operatinganalytics.com,,,,
PayDragon,2012-01-01,2013-08-08,1,2012-07-27,1350000,1350000,Closed,Seed,1350000,7/27/2012,13ca9439fa5eda155723a9a48f9c0ad7,http://paydragon.com,,,,
Pearl,2016-01-01,2017-06-01,1,2016-06-21,50000000,50000000,Closed,Series A,50000000,6/21/2016,0c0cb5272bc01c7279096132e0093503,http://www.pearlapp.co,<12K,00:00:23,1.24,79.21%
PetSitnStay,2013-10-30,2015-10-30,1,2013-09-05,3000,3000,Closed,Seed,3000,9/5/2013,03a220004ffd68f0e975240a636ba684,http://www.petsitnstay.com,<12K,N/A,N/A,N/A
Pickle,2014-05-01,2015-09-18,3,2015-02-20,100000,135000,Closed,Seed,15000,4/5/2014,afd3c9cfdcffe3508e526e9d8e7f11cb,http://pickle.com,<12K,00:01:37,1.36,75.88%
