Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage
Livongo,1/1/2014,,6,3/16/2017,52500000,143200001,Operating,Series D,52500000,3/16/2017,a187546188e8b56b6943cbad55819d00,http://www.livongo.com/
NowThis,9/1/2012,,4,12/8/2015,16200000,32000000,Operating,Series D,16200000,12/8/2015,cc24f18b7ff503662b863bc5f194c215,http://nowthisnews.com
Onshape,1/1/2012,,4,4/14/2016,105000000,169000000,Operating,Series D,105000000,4/14/2016,b4e5846a132c4ba5818e3c3be534fa0d,http://www.onshape.com
Opendoor,1/1/2014,,4,12/1/2016,210000000,319950000,Operating,Series D,210000000,12/1/2016,edfa0214f0fa98ec3a59fe77919956cd,https://www.opendoor.com
Paxata,5/29/2012,,4,10/24/2016,33500000,60992752,Operating,Series D,33500000,10/24/2016,ebf5dada6f9f9d89083e636109c44f3e,http://www.paxata.com
PillPack,1/31/2013,,5,9/6/2016,55000000,117800000,Operating,Series D,55000000,9/6/2016,31fe80412a9da55c457e36b3c138d283,http://www.pillpack.com
Prescient,1/1/2013,,3,4/25/2017,40000000,53000000,Operating,Series D,40000000,4/25/2017,ac6fac4ebe51af94bc011931577e07b0,http://www.prescientco.com
Prescient,1/1/2013,,3,4/25/2017,40000000,53000000,Operating,Series D,40000000,4/25/2017,8595b1d12fbcfe073545f288719e75dc,http://www.prescienthg.com/
REBBL,1/1/2012,,2,12/12/2016,10000000,14000000,Operating,Series D,10000000,12/12/2016,60daf32d6b41b6d6900a6a6de4da9f50,http://rebbl.co
Ring,1/1/2012,,6,1/25/2017,109000000,209200000,Operating,Series D,109000000,1/25/2017,66074e0b5c4ee064f9e729c53804d9ae,https://ring.com
Ring,1/1/2012,,6,1/25/2017,109000000,209200000,Operating,Series D,109000000,1/25/2017,6342e148fb97b45ab0668b3933cc2368,http://ring.cx/
Rubrik,1/1/2014,,4,4/28/2017,180000000,292000000,Operating,Series D,180000000,4/28/2017,3169f93d9821bb4c4257e6b64805977a,http://rubrik.com/
Snowflake Computing,1/1/2012,,4,4/5/2017,100000000,205000000,Operating,Series D,100000000,4/5/2017,b0544b082ffb5928301f14086ddac58b,http://www.snowflake.net/
Super Evil Mega Corp,1/1/2012,,6,8/9/2017,19000000,61000000,Operating,Series D,19000000,8/9/2017,613edad55018ac1dd1faa19adacfc749,http://www.superevilmegacorp.com
Tarveda Therapeutics,1/1/2012,,6,2/2/2017,30000000,113801164,Operating,Series D,30000000,2/2/2017,40d0143842f86ace6cd0f49bc8617ec3,http://www.tarveda.com/
Tastemade,1/1/2012,,4,12/17/2015,40000000,80300000,Operating,Series D,40000000,12/17/2015,c40e57525ab0ad549199ca8a477b9e7a,http://www.tastemade.com
TrendKite,1/1/2012,,6,11/4/2016,16300000,36617202,Operating,Series D,16300000,11/4/2016,6866f533ccccc8c56a705aeb4a348202,http://trendkite.com
True North Therapeutics,1/1/2013,,4,10/18/2016,45000000,142000000,Was Acquired,Series D,45000000,10/18/2016,e688368d44abddace2dfa371292d4896,http://www.truenorthrx.com/
Upstart,4/1/2012,,5,3/2/2017,32500000,85650000,Operating,Series D,32500000,3/2/2017,db48dad8a35fede79df39a0397a0291e,http://www.upstart.com
"VeloCloud, Inc.",1/1/2012,,3,3/2/2017,35000000,84000000,Operating,Series D,35000000,3/2/2017,b383bd9cd4d0f94e31e1f114d930a721,http://www.velocloud.com
honeygrow,1/1/2012,,2,11/17/2016,20000000,45000000,Operating,Series D,20000000,11/17/2016,3826eca93eb0118a76c1667fc2ddf0ff,http://www.honeygrow.com/
