Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date
Commerce Sciences,2012-01-01,,2,2015-08-27,"$4,000,000 ","$5,800,000 ",Was Acquired,Seed,"$4,000,000 ",2015-08-27
Commerce Sciences,2012-01-01,,2,2015-08-27,"$4,000,000 ","$5,800,000 ",Was Acquired,Seed,"$1,800,000 ",2012-07-02
Commerce Signals,2014-01-01,,3,2017-07-17,"$12,000,000 ","$19,000,000 ",Operating,Series A,"$4,000,000 ",2015-10-26
Commerce Signals,2014-01-01,,3,2017-07-17,"$12,000,000 ","$19,000,000 ",Operating,Series B,"$12,000,000 ",2017-07-17
CommercialTribe,2013-01-01,,3,2015-12-03,"$6,000,000 ","$9,950,000 ",Operating,Series A,"$3,200,000 ",2014-04-29
CommercialTribe,2013-01-01,,3,2015-12-03,"$6,000,000 ","$9,950,000 ",Operating,Series A,"$750,000 ",2015-02-05
CommercialTribe,2013-01-01,,3,2015-12-03,"$6,000,000 ","$9,950,000 ",Operating,Series B,"$6,000,000 ",2015-12-03
Common,2015-01-01,,3,2016-06-15,"$16,000,000 ","$23,350,000 ",Operating,Series A,"$7,350,000 ",2015-07-16
Common,2015-01-01,,3,2016-06-15,"$16,000,000 ","$23,350,000 ",Operating,Series B,"$16,000,000 ",2016-06-15
Common Networks,2016-01-01,,2,2017-06-15,"$7,000,000 ","$9,300,000 ",Operating,Seed,"$2,300,000 ",2016-03-01
Common Networks,2016-01-01,,2,2017-06-15,"$7,000,000 ","$9,300,000 ",Operating,Series A,"$7,000,000 ",2017-06-15
"Community Bound, Inc.",2013-01-01,,1,2013-06-21,"$22,500 ","$22,500 ",Operating,Seed,"$22,500 ",2013-06-21
Community Sourced Capital,2012-01-01,,1,2012-09-01,"$17,000 ","$17,000 ",Operating,Seed,"$17,000 ",2012-09-01
Companion Inc,2016-04-12,,1,2017-06-07,"$1,000,000 ","$1,000,000 ",Operating,Seed,"$1,000,000 ",2017-06-07
Compass,2012-10-04,,5,2016-08-31,"$75,000,000 ","$208,000,000 ",Operating,Seed,"$8,000,000 ",2012-12-16
Compass,2012-10-04,,5,2016-08-31,"$75,000,000 ","$208,000,000 ",Operating,Series A,"$25,000,000 ",2013-09-25
Compass,2012-10-04,,5,2016-08-31,"$75,000,000 ","$208,000,000 ",Operating,Series B,"$40,000,000 ",2014-07-21
Compass,2012-10-04,,5,2016-08-31,"$75,000,000 ","$208,000,000 ",Operating,Series C,"$60,000,000 ",2015-09-15
Compass,2012-10-04,,5,2016-08-31,"$75,000,000 ","$208,000,000 ",Operating,Series D,"$75,000,000 ",2016-08-31
Compass,2014-01-01,,1,2016-02-26,"$300,000 ","$300,000 ",Operating,Seed,"$8,000,000 ",2012-12-16
Compass,2014-01-01,,1,2016-02-26,"$300,000 ","$300,000 ",Operating,Series A,"$25,000,000 ",2013-09-25
Compass,2014-01-01,,1,2016-02-26,"$300,000 ","$300,000 ",Operating,Series B,"$40,000,000 ",2014-07-21
Compass,2014-01-01,,1,2016-02-26,"$300,000 ","$300,000 ",Operating,Series C,"$60,000,000 ",2015-09-15
Compass,2014-01-01,,1,2016-02-26,"$300,000 ","$300,000 ",Operating,Series D,"$75,000,000 ",2016-08-31
Compass Quality Insight Inc.,2012-01-01,,1,2013-06-11,"$2,000,000 ","$2,000,000 ",Closed,Seed,"$2,000,000 ",2013-06-11
Compass Therapeutics,2014-01-01,,4,2016-09-21,"$50,000,000 ","$71,055,000 ",Operating,Series A,"$50,000,000 ",2016-09-21
Compass Therapeutics,2014-01-01,,4,2016-09-21,"$50,000,000 ","$71,055,000 ",Operating,Series A,"$4,500,000 ",2015-06-15
CompassMD,2012-11-10,,1,2012-12-07,"$270,000 ","$270,000 ",Operating,Seed,"$270,000 ",2012-12-07
CompleteSet,2012-01-01,,9,2017-05-16,"$1,000,000 ","$2,274,000 ",Operating,Seed,"$1,000,000 ",2017-05-16
CompleteSet,2012-01-01,,9,2017-05-16,"$1,000,000 ","$2,274,000 ",Operating,Seed,"$650,000 ",2014-12-01
CompleteSet,2012-01-01,,9,2017-05-16,"$1,000,000 ","$2,274,000 ",Operating,Seed,"$20,000 ",2016-06-27
CompleteSet,2012-01-01,,9,2017-05-16,"$1,000,000 ","$2,274,000 ",Operating,Seed,"$15,000 ",2014-06-30
Compliant Cannabis,2014-11-01,,1,2015-08-24,"$20,000 ","$20,000 ",Operating,Seed,"$20,000 ",2015-08-24
ComplyAdvantage,2014-01-01,,1,2016-10-13,"$8,200,000 ","$8,200,000 ",Operating,Series A,"$8,200,000 ",2016-10-13
Compology,2012-01-01,,3,2016-04-01,"$7,000,000 ","$7,525,000 ",Operating,Series A,"$7,000,000 ",2016-04-01
Composure,2014-01-01,,1,2014-04-03,"$50,000 ","$50,000 ",Closed,Seed,"$50,000 ",2014-04-03
Comp??Èd,2015-01-01,,1,2015-05-01,"$20,000 ","$20,000 ",Operating,Seed,"$20,000 ",2015-05-01
Concept.io,2012-01-01,,2,2013-07-18,"$5,400,000 ","$7,200,000 ",Was Acquired,Seed,"$1,800,000 ",2012-01-01
Concept.io,2012-01-01,,2,2013-07-18,"$5,400,000 ","$7,200,000 ",Was Acquired,Series A,"$5,400,000 ",2013-07-18
"Concierge Solutions, LLC.",2015-06-10,,1,2016-03-18,"$20,000 ","$20,000 ",Operating,Seed,"$20,000 ",2016-03-18
Concord,2015-01-01,,2,2017-05-31,"$3,700,000 ","$6,400,000 ",Operating,Seed,"$2,700,000 ",2014-10-01
Concord,2015-01-01,,2,2017-05-31,"$3,700,000 ","$6,400,000 ",Operating,Series A,"$3,700,000 ",2017-05-31
Conectric Networks,2015-09-10,,1,2017-04-06,"$716,000 ","$716,000 ",Operating,Seed,"$716,000 ",2017-04-06
Confer Technologies,2013-01-01,,2,2015-11-02,"$17,000,000 ","$25,000,000 ",Was Acquired,Series A,"$8,000,000 ",2014-01-15
Confer Technologies,2013-01-01,,2,2015-11-02,"$17,000,000 ","$25,000,000 ",Was Acquired,Series B,"$17,000,000 ",2015-11-02
Confide,2013-12-01,,2,2016-03-10,"$1,600,000 ","$3,500,000 ",Operating,Seed,"$1,900,000 ",2014-02-04
Confident Cannabis,2015-05-01,,1,2015-08-27,"$3,000,000 ","$3,000,000 ",Operating,Seed,"$3,000,000 ",2015-08-27
Confirm.io,2015-01-01,,1,2015-06-30,"$4,000,000 ","$4,000,000 ",Operating,Seed,"$4,000,000 ",2015-06-30
Confluent,2014-09-23,,3,2017-03-07,"$50,000,000 ","$80,900,000 ",Operating,Series A,"$6,900,000 ",2014-11-06
Confluent,2014-09-23,,3,2017-03-07,"$50,000,000 ","$80,900,000 ",Operating,Series B,"$24,000,000 ",2015-07-08
Confluent,2014-09-23,,3,2017-03-07,"$50,000,000 ","$80,900,000 ",Operating,Series C,"$50,000,000 ",2017-03-07
Connect,2012-05-22,,5,2014-12-10,"$10,300,000 ","$16,000,000 ",Operating,Series A,"$10,300,000 ",2014-12-10
Connectbright,2012-01-01,,1,2012-07-01,"$28,000 ","$28,000 ",Closed,Seed,"$28,000 ",2012-07-01
ConnectedYard (pHin),2014-07-01,,2,2016-12-02,"$7,000,000 ","$9,200,000 ",Operating,Series A,"$7,000,000 ",2016-12-02
Connectifier,2012-06-01,,3,2015-10-27,"$6,000,000 ","$11,699,999 ",Was Acquired,Seed,"$1,600,000 ",2012-08-20
Connectifier,2012-06-01,,3,2015-10-27,"$6,000,000 ","$11,699,999 ",Was Acquired,Series A,"$4,099,999 ",2015-06-16
Connectifier,2012-06-01,,3,2015-10-27,"$6,000,000 ","$11,699,999 ",Was Acquired,Series B,"$6,000,000 ",2015-10-27
Connectivity,2013-01-01,,1,2014-04-24,"$10,350,000 ","$10,350,000 ",Operating,Series A,"$10,350,000 ",2014-04-24
Connex Business Engine,2016-01-01,,1,2016-06-01,"$250,000 ","$250,000 ",Operating,Seed,"$250,000 ",2016-06-01
Connoshoer,2012-11-01,,1,2013-04-08,"$100,000 ","$100,000 ",Operating,Seed,"$100,000 ",2013-04-08
Consano Medical Inc.,2012-09-25,,1,2014-06-26,"$3,900,000 ","$3,900,000 ",Closed,Series A,"$3,900,000 ",2014-06-26
ConsejoSano,2014-01-01,,2,2017-02-13,"$4,900,000 ","$4,900,000 ",Operating,Series A,"$4,900,000 ",2017-02-13
Consensium,2013-01-01,,1,2013-04-17,"$20,000 ","$20,000 ",Operating,Seed,"$20,000 ",2013-04-17
Consensus,2013-03-01,,5,2016-09-07,"$1,575,000 ","$8,675,000 ",Operating,Seed,"$2,800,000 ",2015-04-09
Consensus,2013-03-01,,5,2016-09-07,"$1,575,000 ","$8,675,000 ",Operating,Series A,"$4,200,000 ",2016-04-05
Consignd,2012-01-01,2014-01-01,1,2013-01-07,"$40,000 ","$40,000 ",Closed,Seed,"$40,000 ",2013-01-07
ConsortiEX,2013-01-01,,5,2016-09-10,"$2,500,000 ","$4,485,010 ",Operating,Series A,"$2,500,000 ",2016-09-10
Consortia Health,2014-02-01,,1,2017-04-14,"$2,000,000 ","$2,000,000 ",Operating,Seed,"$2,000,000 ",2017-04-14
Conspire,2012-07-01,,4,2014-08-04,"$2,400,000 ","$6,006,033 ",Was Acquired,Series A,"$2,400,000 ",2014-08-04
Constant Insight,2013-01-01,,1,2013-01-03,"$16,666 ","$16,666 ",Operating,Seed,"$16,666 ",2013-01-03
Constant Therapy,2013-01-01,,2,2016-03-10,"$2,000,000 ","$2,740,000 ",Was Acquired,Series A,"$2,000,000 ",2016-03-10
Constant Therapy,2013-01-01,,2,2016-03-10,"$2,000,000 ","$2,740,000 ",Was Acquired,Series A,"$740,000 ",2014-06-20
Constructor.io,2015-01-05,,1,2015-01-20,"$1,100,000 ","$1,100,000 ",Operating,Seed,"$1,100,000 ",2015-01-20
Consuldents,2016-03-01,,1,2016-04-06,"$15,000 ","$15,000 ",Operating,Seed,"$15,000 ",2016-04-06
Contacts+,2012-01-01,,1,2012-10-05,"$1,000,000 ","$1,000,000 ",Operating,Seed,"$1,000,000 ",2012-10-05
ContainerShip,2014-10-01,,2,2016-04-01,"$2,406,729 ","$2,606,729 ",Operating,Seed,"$2,406,729 ",2016-04-01
"Contap, Inc",2014-03-01,,2,2017-03-01,"$300,000 ","$575,000 ",Operating,Seed,"$300,000 ",2017-03-01
Content Analytics,2013-01-01,,2,2014-09-24,"$4,000,000 ","$5,500,000 ",Operating,Seed,"$1,500,000 ",2014-01-01
Content Analytics,2013-01-01,,2,2014-09-24,"$4,000,000 ","$5,500,000 ",Operating,Series A,"$4,000,000 ",2014-09-24
Content BLVD,2012-04-12,,2,2015-09-01,"$465,000 ","$465,000 ",Operating,Seed,"$465,000 ",2015-09-01
ContentDJ,2012-04-24,,1,2012-03-31,"$40,000 ","$40,000 ",Operating,Seed,"$40,000 ",2012-03-31
Contessa Health,2015-02-01,,2,2016-10-11,"$6,999,959 ","$10,499,959 ",Operating,Series A,"$3,500,000 ",2015-12-02
Contessa Health,2015-02-01,,2,2016-10-11,"$6,999,959 ","$10,499,959 ",Operating,Series B,"$6,999,959 ",2016-10-11
Contigo Financial,2012-05-01,,1,2012-08-27,"$15,000 ","$15,000 ",Was Acquired,Seed,"$15,000 ",2012-08-27
Continuus Pharmaceuticals,2012-01-01,,2,2014-06-18,"$2,463,659 ","$2,728,659 ",Operating,Series A,"$2,463,659 ",2014-06-18
Contiq Inc.,2016-06-01,,1,2016-12-20,"$3,000,000 ","$3,000,000 ",Operating,Seed,"$3,000,000 ",2016-12-20
Contix,2012-07-03,,2,2016-04-28,"$50,000 ","$1,635,000 ",Operating,Seed,"$50,000 ",2016-04-28
ContraVir Pharmaceuticals,2013-01-01,,3,2014-10-15,"$9,000,000 ","$16,967,648 ",IPO,Series A,"$9,000,000 ",2014-10-15
Contrail Systems,2012-01-01,,1,2012-07-27,"$10,000,000 ","$10,000,000 ",Was Acquired,Series A,"$10,000,000 ",2012-07-27
Contraline,2015-05-20,,2,2017-03-31,"$2,250,000 ","$2,930,000 ",Operating,Seed,"$2,250,000 ",2017-03-31
Contraqer,2012-09-28,,2,2016-05-04,"$3,411,943 ","$4,016,943 ",Operating,Seed,"$3,411,943 ",2016-05-04
Contrast Security,2014-01-01,,2,2016-09-28,"$16,000,000 ","$24,000,000 ",Operating,Series A,"$8,000,000 ",2014-06-25
Contrast Security,2014-01-01,,2,2016-09-28,"$16,000,000 ","$24,000,000 ",Operating,Series B,"$16,000,000 ",2016-09-28
"ControlUp, Inc",2012-01-01,,2,2017-03-28,"$10,000,000 ","$13,200,000 ",Operating,Series A,"$3,200,000 ",2014-08-01
"ControlUp, Inc",2012-01-01,,2,2017-03-28,"$10,000,000 ","$13,200,000 ",Operating,Series B,"$10,000,000 ",2017-03-28
Convercent,2013-01-29,,6,2017-02-10,"$10,000,000 ","$56,724,998 ",Operating,Series A,"$10,200,000 ",2013-01-29
Convercent,2013-01-29,,6,2017-02-10,"$10,000,000 ","$56,724,998 ",Operating,Series B,"$10,000,000 ",2013-10-24
Convercent,2013-01-29,,6,2017-02-10,"$10,000,000 ","$56,724,998 ",Operating,Series C,"$11,000,000 ",2016-06-07
Convercent,2013-01-29,,6,2017-02-10,"$10,000,000 ","$56,724,998 ",Operating,Series C,"$10,000,000 ",2017-02-10
Conversa Health,2014-01-28,,4,2017-05-17,"$8,000,000 ","$10,500,000 ",Operating,Series A,"$8,000,000 ",2017-05-17
Conversant Labs,2012-01-01,,2,2015-08-01,"$550,000 ","$575,000 ",Operating,Seed,"$25,000 ",2014-07-03
Conversion Logic,2014-01-01,,3,2017-03-08,"$9,000,000 ","$14,100,000 ",Operating,Seed,"$4,000,000 ",2015-04-08
Conversion Logic,2014-01-01,,3,2017-03-08,"$9,000,000 ","$14,100,000 ",Operating,Series A,"$9,000,000 ",2017-03-08
Convessa,2015-06-01,,1,2017-06-12,"$100,000 ","$100,000 ",Operating,Seed,"$100,000 ",2017-06-12
Convey,2013-08-15,,3,2017-08-29,"$8,250,000 ","$15,550,000 ",Operating,Seed,"$2,800,000 ",2015-01-05
Convey,2013-08-15,,3,2017-08-29,"$8,250,000 ","$15,550,000 ",Operating,Series A,"$4,500,000 ",2016-06-29
Convo,2012-01-01,,3,2013-09-16,"$5,000,000 ","$6,309,000 ",Operating,Series A,"$5,000,000 ",2013-09-16
Convox,2015-01-01,,1,2015-09-01,"$120,000 ","$120,000 ",Operating,Seed,"$120,000 ",2015-09-01
Convoy,2015-01-01,,3,2017-07-25,"$62,000,000 ","$80,500,000 ",Operating,Seed,"$2,500,000 ",2015-10-26
Convoy,2015-01-01,,3,2017-07-25,"$62,000,000 ","$80,500,000 ",Operating,Series A,"$16,000,000 ",2016-03-23
Convoy,2015-01-01,,3,2017-07-25,"$62,000,000 ","$80,500,000 ",Operating,Series B,"$62,000,000 ",2017-07-25
Cookunity,2015-01-01,,3,2016-12-23,"$1,000,000 ","$1,362,000 ",Operating,Seed,"$1,000,000 ",2016-12-23
CoolJonny Inc,2016-08-18,,1,2016-01-10,"$500,000 ","$500,000 ",Operating,Seed,"$500,000 ",2016-01-10
Cooleaf,2013-04-01,,2,2016-02-01,"$425,000 ","$800,000 ",Operating,Seed,"$425,000 ",2016-02-01
Cooleaf,2013-04-01,,2,2016-02-01,"$425,000 ","$800,000 ",Operating,Seed,"$375,000 ",2013-04-02
"Copatient, Inc.",2012-01-01,,2,2014-06-25,"$3,600,000 ","$4,653,679 ",Operating,Series A,"$3,600,000 ",2014-06-25
CopyRightNow,2012-09-25,,1,2012-12-23,"$322,500 ","$322,500 ",Operating,Seed,"$322,500 ",2012-12-23
Copyrightys,2012-01-01,,1,2012-01-01,"$10,000 ","$10,000 ",Operating,Seed,"$10,000 ",2012-01-01
Cord Project,2014-04-15,,1,2014-09-04,"$1,800,000 ","$1,800,000 ",Was Acquired,Seed,"$1,800,000 ",2014-09-04
Cordata Healthcare Innovations,2014-07-01,,3,2016-09-01,"$3,000,000 ","$6,085,937 ",Operating,Series A,"$3,000,000 ",2016-09-01
Cordial,2014-10-01,,4,2017-02-27,"$6,000,000 ","$8,050,000 ",Operating,Seed,"$1,700,000 ",2015-04-15
Cordial,2014-10-01,,4,2017-02-27,"$6,000,000 ","$8,050,000 ",Operating,Series A,"$6,000,000 ",2017-02-27
Core2 Group,2012-01-01,,2,2015-04-16,"$872,000 ","$5,214,000 ",Operating,Series A,"$4,342,000 ",2014-09-02
Core2 Group,2012-01-01,,2,2015-04-16,"$872,000 ","$5,214,000 ",Operating,Series A,"$872,000 ",2015-04-16
CoreBiome,2016-01-01,,1,2017-07-10,"$800,000 ","$800,000 ",Operating,Seed,"$800,000 ",2017-07-10
CoreOS,2013-01-01,,5,2016-05-09,"$30,000,000 ","$50,000,000 ",Operating,Series A,"$12,000,000 ",2015-04-06
CoreOS,2013-01-01,,5,2016-05-09,"$30,000,000 ","$50,000,000 ",Operating,Series A,"$8,000,000 ",2014-06-30
CoreOS,2013-01-01,,5,2016-05-09,"$30,000,000 ","$50,000,000 ",Operating,Series B,"$30,000,000 ",2016-05-09
Corelight,2013-01-01,,1,2017-07-18,"$9,200,000 ","$9,200,000 ",Operating,Series A,"$9,200,000 ",2017-07-18
CorkCRM,2013-01-01,,1,2013-10-25,"$5,000 ","$5,000 ",Operating,Seed,"$5,000 ",2013-10-25
Cornershop,2015-03-10,,4,2017-05-04,"$21,000,000 ","$31,600,000 ",Operating,Seed,"$2,500,000 ",2015-10-23
Cornershop,2015-03-10,,4,2017-05-04,"$21,000,000 ","$31,600,000 ",Operating,Seed,"$1,400,000 ",2016-11-16
Cornershop,2015-03-10,,4,2017-05-04,"$21,000,000 ","$31,600,000 ",Operating,Series A,"$6,700,000 ",2016-04-14
Cornershop,2015-03-10,,4,2017-05-04,"$21,000,000 ","$31,600,000 ",Operating,Series B,"$21,000,000 ",2017-05-04
Corsica Innovations(LEAF),2015-04-01,,4,2017-08-07,"$2,504,795 ","$4,524,795 ",Operating,Seed,"$2,504,795 ",2017-08-07
Corsica Innovations(LEAF),2015-04-01,,4,2017-08-07,"$2,504,795 ","$4,524,795 ",Operating,Seed,"$20,000 ",2015-04-01
Cortex,2014-02-01,,1,2015-03-25,"$500,000 ","$500,000 ",Operating,Seed,"$500,000 ",2015-03-25
Corvidia,2014-01-01,,1,2016-02-17,"$26,000,000 ","$26,000,000 ",Operating,Series A,"$26,000,000 ",2016-02-17
Corvus Pharmaceuticals,2014-01-01,,2,2015-09-25,"$75,000,000 ","$108,500,000 ",IPO,Series A,"$33,500,000 ",2014-12-01
Corvus Pharmaceuticals,2014-01-01,,2,2015-09-25,"$75,000,000 ","$108,500,000 ",IPO,Series B,"$75,000,000 ",2015-09-25
Cosmunity,2016-01-01,,1,2017-02-22,"$300,000 ","$300,000 ",Operating,Seed,"$300,000 ",2017-02-22
Cotap,2013-05-01,,2,2014-01-28,"$10,000,000 ","$15,500,000 ",Closed,Series A,"$5,500,000 ",2013-05-28
Cotap,2013-05-01,,2,2014-01-28,"$10,000,000 ","$15,500,000 ",Closed,Series B,"$10,000,000 ",2014-01-28
"Coterie, Inc.",2012-04-01,2013-09-14,1,2012-09-21,"$1,500,000 ","$1,500,000 ",Was Acquired,Seed,"$1,500,000 ",2012-09-21
Cotopaxi,2014-04-01,,5,2017-02-10,"$11,000,000 ","$22,000,000 ",Operating,Seed,"$3,000,000 ",2014-07-22
Cotopaxi,2014-04-01,,5,2017-02-10,"$11,000,000 ","$22,000,000 ",Operating,Series A,"$6,500,000 ",2015-03-24
Cotopaxi,2014-04-01,,5,2017-02-10,"$11,000,000 ","$22,000,000 ",Operating,Series B,"$11,000,000 ",2017-02-10
Cotton Bureau,2013-01-01,,1,2016-09-21,"$500,000 ","$500,000 ",Operating,Seed,"$500,000 ",2016-09-21
Countable,2013-05-01,,1,2017-03-15,"$2,000,000 ","$2,000,000 ",Operating,Seed,"$2,000,000 ",2017-03-15
Countdown,2012-01-01,,1,2013-06-01,"$18,000 ","$18,000 ",Operating,Seed,"$18,000 ",2013-06-01
Couple,2012-01-01,,2,2012-05-02,"$4,200,000 ","$4,225,888 ",Was Acquired,Seed,"$4,200,000 ",2012-05-02
Coupons Near Me,2013-02-04,2013-07-01,1,2013-01-08,"$10,000 ","$10,000 ",Closed,Seed,"$10,000 ",2013-01-08
Coursera,2012-01-01,,7,2017-06-07,"$64,000,000 ","$210,100,000 ",Operating,Series A,"$16,000,000 ",2012-04-18
Coursera,2012-01-01,,7,2017-06-07,"$64,000,000 ","$210,100,000 ",Operating,Series A,"$6,000,000 ",2012-07-17
Coursera,2012-01-01,,7,2017-06-07,"$64,000,000 ","$210,100,000 ",Operating,Series B,"$43,000,000 ",2013-07-10
Coursera,2012-01-01,,7,2017-06-07,"$64,000,000 ","$210,100,000 ",Operating,Series B,"$20,000,000 ",2013-11-24
Coursera,2012-01-01,,7,2017-06-07,"$64,000,000 ","$210,100,000 ",Operating,Series C,"$49,500,000 ",2015-08-25
Coursera,2012-01-01,,7,2017-06-07,"$64,000,000 ","$210,100,000 ",Operating,Series C,"$11,600,000 ",2015-10-27
Coursera,2012-01-01,,7,2017-06-07,"$64,000,000 ","$210,100,000 ",Operating,Series D,"$64,000,000 ",2017-06-07
Coursmos,2014-01-07,,2,2015-02-02,"$600,000 ","$1,280,000 ",Operating,Seed,"$600,000 ",2015-02-02
Court Innovations,2013-01-01,,1,2017-06-06,"$1,800,000 ","$1,800,000 ",Operating,Series A,"$1,800,000 ",2017-06-06
Cover,2012-01-01,,2,2014-07-10,"$5,500,000 ","$7,000,000 ",Was Acquired,Seed,"$3,000,000 ",2016-03-01
Cover,2012-01-01,,2,2014-07-10,"$5,500,000 ","$7,000,000 ",Was Acquired,Seed,"$1,500,000 ",2013-05-08
Cover,2012-01-01,,2,2014-07-10,"$5,500,000 ","$7,000,000 ",Was Acquired,Series A,"$8,000,000 ",2017-07-13
Cover,2012-01-01,,2,2014-07-10,"$5,500,000 ","$7,000,000 ",Was Acquired,Series A,"$5,500,000 ",2014-07-10
Cover,2014-01-01,,4,2017-07-13,"$8,000,000 ","$11,120,000 ",Operating,Seed,"$3,000,000 ",2016-03-01
Cover,2014-01-01,,4,2017-07-13,"$8,000,000 ","$11,120,000 ",Operating,Seed,"$1,500,000 ",2013-05-08
Cover,2014-01-01,,4,2017-07-13,"$8,000,000 ","$11,120,000 ",Operating,Series A,"$8,000,000 ",2017-07-13
Cover,2014-01-01,,4,2017-07-13,"$8,000,000 ","$11,120,000 ",Operating,Series A,"$5,500,000 ",2014-07-10
Cover Lockscreen,2013-03-01,,1,2013-03-01,"$1,700,000 ","$1,700,000 ",Was Acquired,Seed,"$1,700,000 ",2013-03-01
"Cover Technologies, Inc.",2014-01-01,,1,2017-05-09,"$1,600,000 ","$1,600,000 ",Operating,Seed,"$1,600,000 ",2017-05-09
Covered Insurance,2016-01-01,,1,2017-06-27,"$700,000 ","$700,000 ",Operating,Seed,"$700,000 ",2017-06-27
Covetly,2014-01-01,,1,2017-07-01,"$120,000 ","$120,000 ",Operating,Seed,"$120,000 ",2017-07-01
Cozy,2012-03-01,,4,2016-08-30,"$8,500,000 ","$18,400,000 ",Operating,Seed,"$1,500,000 ",2012-10-04
Cozy,2012-03-01,,4,2016-08-30,"$8,500,000 ","$18,400,000 ",Operating,Series A,"$5,000,000 ",2013-10-15
Cozy,2012-03-01,,4,2016-08-30,"$8,500,000 ","$18,400,000 ",Operating,Series A,"$3,400,000 ",2015-08-21
Cozy,2012-03-01,,4,2016-08-30,"$8,500,000 ","$18,400,000 ",Operating,Series B,"$8,500,000 ",2016-08-30
Cratejoy,2013-01-01,,1,2014-10-14,"$4,000,000 ","$4,000,000 ",Operating,Series A,"$4,000,000 ",2014-10-14
Crayon,2014-01-01,,3,2016-11-10,"$3,350,000 ","$5,100,000 ",Operating,Seed,"$3,350,000 ",2016-11-10
Crayon,2014-01-01,,3,2016-11-10,"$3,350,000 ","$5,100,000 ",Operating,Seed,"$1,500,000 ",2015-04-30
CreatorBox,2014-01-01,,1,2014-07-24,"$20,000 ","$20,000 ",Operating,Seed,"$20,000 ",2014-07-24
Creators Media,2012-07-01,,2,2015-09-15,"$16,000,000 ","$23,000,000 ",Operating,Series B,"$16,000,000 ",2015-09-15
Creators Media,2012-07-01,,2,2015-09-15,"$16,000,000 ","$23,000,000 ",Operating,Series B,"$7,000,000 ",2012-07-01
CredSimple,2013-01-01,,3,2016-11-24,"$2,000,000 ","$4,758,150 ",Operating,Seed,"$2,738,150 ",2015-07-02
CredSimple,2013-01-01,,3,2016-11-24,"$2,000,000 ","$4,758,150 ",Operating,Seed,"$2,000,000 ",2016-11-24
CredSimple,2013-01-01,,3,2016-11-24,"$2,000,000 ","$4,758,150 ",Operating,Seed,"$20,000 ",2013-09-26
CrediFi,2014-01-01,,3,2017-02-13,"$13,000,000 ","$23,000,000 ",Operating,Series A,"$2,000,000 ",2014-02-15
CrediFi,2014-01-01,,3,2017-02-13,"$13,000,000 ","$23,000,000 ",Operating,Series B,"$13,000,000 ",2017-02-13
CrediFi,2014-01-01,,3,2017-02-13,"$13,000,000 ","$23,000,000 ",Operating,Series B,"$8,000,000 ",2015-04-11
Credible,2012-11-01,,5,2017-01-18,"$10,000,000 ","$24,301,880 ",Operating,Seed,"$500,000 ",2014-02-28
Credible,2012-11-01,,5,2017-01-18,"$10,000,000 ","$24,301,880 ",Operating,Series A,"$11,601,880 ",2015-10-07
Credible,2012-11-01,,5,2017-01-18,"$10,000,000 ","$24,301,880 ",Operating,Series B,"$10,000,000 ",2017-01-18
Credit Fair-E,2015-01-01,,1,2015-03-01,"$15,000 ","$15,000 ",Operating,Seed,"$15,000 ",2015-03-01
CreditShop,2013-01-01,,2,2015-01-22,"$35,000,000 ","$39,450,000 ",Operating,Seed,"$4,450,000 ",2014-03-01
CreditShop,2013-01-01,,2,2015-01-22,"$35,000,000 ","$39,450,000 ",Operating,Series A,"$35,000,000 ",2015-01-22
CrenT,2015-01-01,,2,2016-12-09,"$750,000 ","$1,000,000 ",Operating,Seed,"$750,000 ",2016-12-09
Crew,2015-01-01,,3,2017-05-04,"$1,900,000 ","$24,900,000 ",Operating,Seed,"$1,900,000 ",2017-05-04
Crew,2015-01-01,,3,2017-05-04,"$1,900,000 ","$24,900,000 ",Operating,Series A,"$8,000,000 ",2017-05-04
Crew,2015-01-01,,3,2017-05-04,"$1,900,000 ","$24,900,000 ",Operating,Series B,"$15,000,000 ",2017-05-04
Crew,2015-01-01,,3,2017-05-04,"$8,000,000 ","$24,900,000 ",Operating,Seed,"$1,900,000 ",2017-05-04
Crew,2015-01-01,,3,2017-05-04,"$8,000,000 ","$24,900,000 ",Operating,Series A,"$8,000,000 ",2017-05-04
Crew,2015-01-01,,3,2017-05-04,"$8,000,000 ","$24,900,000 ",Operating,Series B,"$15,000,000 ",2017-05-04
Cribspot,2013-04-13,,3,2016-06-01,"$1,750,000 ","$2,897,034 ",Operating,Seed,"$1,750,000 ",2016-06-01
Cricket Health,2014-01-01,,3,2016-01-28,"$2,600,000 ","$3,670,000 ",Operating,Seed,"$2,600,000 ",2016-01-28
Cricket Health,2014-01-01,,3,2016-01-28,"$2,600,000 ","$3,670,000 ",Operating,Seed,"$120,000 ",2015-05-30
Criptext,2013-12-01,,2,2015-06-01,"$600,000 ","$750,000 ",Operating,Seed,"$600,000 ",2015-06-01
Crisis Text Line,2012-01-01,,2,2016-06-15,"$23,800,000 ","$30,800,000 ",Operating,Series B,"$23,800,000 ",2016-06-15
Croma.io,2016-01-01,,1,2017-05-08,"$150,000 ","$150,000 ",Operating,Seed,"$150,000 ",2017-05-08
Crop Pro Insurance,2013-01-01,,1,2017-08-08,"$8,000,000 ","$8,000,000 ",Operating,Series A,"$8,000,000 ",2017-08-08
