Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date
46 Degrees Technologies,2015-09-30,,1,2016-04-20,"$2,000,000 ","$2,000,000 ",Operating,Seed,"$2,000,000 ",2016-04-20
4D Healthware,2012-01-01,,2,2017-02-27,"$800,000 ","$1,500,000 ",Operating,Seed,"$800,000 ",2017-02-27
4D Healthware,2012-01-01,,2,2017-02-27,"$800,000 ","$1,500,000 ",Operating,Seed,"$700,000 ",2015-06-02
4G Clinical,2015-01-01,,2,2016-10-19,"$5,000,000 ","$7,500,000 ",Operating,Series A,"$5,000,000 ",2016-10-19
4G Clinical,2015-01-01,,2,2016-10-19,"$5,000,000 ","$7,500,000 ",Operating,Series A,"$2,500,000 ",2016-01-29
4ME4WE,2012-03-01,,3,2016-03-01,"$700,000 ","$1,400,000 ",Operating,Seed,"$450,000 ",2014-07-15
4ME4WE,2012-03-01,,3,2016-03-01,"$700,000 ","$1,400,000 ",Operating,Seed,"$250,000 ",2015-01-15
4ME4WE,2012-03-01,,3,2016-03-01,"$700,000 ","$1,400,000 ",Operating,Series A,"$700,000 ",2016-03-01
4Soils,2012-01-01,,1,2013-08-26,"$50,000 ","$50,000 ",Operating,Seed,"$50,000 ",2013-08-26
4theTable,2014-06-01,,1,2015-11-11,"$500,000 ","$500,000 ",Operating,Seed,"$500,000 ",2015-11-11
4wrdtech,2015-05-29,,1,2015-12-08,"$80,000 ","$80,000 ",Closed,Seed,"$80,000 ",2015-12-08
5 Million Shoppers,2014-01-01,,1,2014-08-07,"$15,000 ","$15,000 ",Operating,Seed,"$15,000 ",2014-08-07
5miles,2014-01-01,,3,2016-01-26,"$30,000,000 ","$52,000,000 ",Operating,Series A,"$5,000,000 ",2015-02-01
5miles,2014-01-01,,3,2016-01-26,"$30,000,000 ","$52,000,000 ",Operating,Series B,"$30,000,000 ",2016-01-26
5miles,2014-01-01,,3,2016-01-26,"$30,000,000 ","$52,000,000 ",Operating,Series B,"$17,000,000 ",2015-05-01
5th Avenue Media,2012-07-04,,1,2012-09-02,"$250,000 ","$250,000 ",Operating,Seed,"$250,000 ",2012-09-02
6 River Systems,2015-01-01,,2,2017-07-26,"$15,000,000 ","$21,000,000 ",Operating,Seed,"$6,000,000 ",2016-03-29
6 River Systems,2015-01-01,,2,2017-07-26,"$15,000,000 ","$21,000,000 ",Operating,Series A,"$15,000,000 ",2017-07-26
70 Million Jobs,2016-01-01,,1,2017-07-01,"$120,000 ","$120,000 ",Operating,Seed,"$120,000 ",2017-07-01
75F,2012-01-01,,4,2015-10-01,"$2,000,000 ","$2,855,000 ",Operating,Seed,"$2,000,000 ",2015-10-01
75F,2012-01-01,,4,2015-10-01,"$2,000,000 ","$2,855,000 ",Operating,Seed,"$650,000 ",2015-03-21
75F,2012-01-01,,4,2015-10-01,"$2,000,000 ","$2,855,000 ",Operating,Seed,"$100,000 ",2014-10-08
7Park Data,2012-01-01,,1,2015-08-26,"$3,000,000 ","$3,000,000 ",Operating,Series A,"$3,000,000 ",2015-08-26
7pm anywhere,2012-01-01,,1,2013-04-03,"$50,000 ","$50,000 ",Operating,Seed,"$50,000 ",2013-04-03
8 Inc.,2013-03-01,,2,2014-08-01,"$3,100,000 ","$4,500,000 ",Operating,Seed,"$3,100,000 ",2014-08-01
8 Inc.,2013-03-01,,2,2014-08-01,"$3,100,000 ","$4,500,000 ",Operating,Seed,"$1,400,000 ",2013-07-01
800 Digital Agency,2013-08-29,,1,2014-01-24,"$100,000 ","$100,000 ",Operating,Seed,"$100,000 ",2014-01-24
800razors,2012-01-01,,1,2013-02-19,"$100,000 ","$100,000 ",Was Acquired,Series A,"$100,000 ",2013-02-19
818 Sports & Entertainment,2012-01-01,,2,2013-05-30,"$25,000,000 ","$27,000,000 ",Operating,Seed,"$2,000,000 ",2013-03-15
818 Sports & Entertainment,2012-01-01,,2,2013-05-30,"$25,000,000 ","$27,000,000 ",Operating,Series A,"$25,000,000 ",2013-05-30
8Stem,2013-01-01,,1,2015-06-01,"$465,000 ","$465,000 ",Operating,Seed,"$465,000 ",2015-06-01
908 Devices,2012-01-01,,5,2017-03-15,"$20,000,000 ","$49,300,000 ",Operating,Series A,"$8,100,000 ",2012-09-05
908 Devices,2012-01-01,,5,2017-03-15,"$20,000,000 ","$49,300,000 ",Operating,Series B,"$7,000,000 ",2013-08-27
908 Devices,2012-01-01,,5,2017-03-15,"$20,000,000 ","$49,300,000 ",Operating,Series C,"$11,600,000 ",2015-05-06
908 Devices,2012-01-01,,5,2017-03-15,"$20,000,000 ","$49,300,000 ",Operating,Series D,"$20,000,000 ",2017-03-15
99Gamers,2012-06-01,,1,2014-11-01,"$100,000 ","$100,000 ",Operating,Seed,"$100,000 ",2014-11-01
A Curated World,2012-01-01,,1,2012-04-01,"$50,000 ","$50,000 ",Operating,Seed,"$50,000 ",2012-04-01
A ONE C LifeBox,2016-02-01,,1,2016-02-01,"$100,000 ","$100,000 ",Operating,Seed,"$100,000 ",2016-02-01
A-Net,2015-10-24,,1,2016-05-20,"$500,000 ","$500,000 ",Operating,Seed,"$500,000 ",2016-05-20
A4C,2014-01-24,,1,2014-01-24,"$1,000,000 ","$1,000,000 ",Operating,Seed,"$1,000,000 ",2014-01-24
"ACAExpress.com, Inc.",2014-04-01,,1,2015-07-01,"$1,000,000 ","$1,000,000 ",Operating,Seed,"$1,000,000 ",2015-07-01
ACME Advanced Materials,2013-01-01,,1,2015-09-15,"$450,000 ","$450,000 ",Operating,Seed,"$450,000 ",2015-09-15
ACT.md,2012-01-01,,1,2015-07-21,"$8,400,000 ","$8,400,000 ",Operating,Series A,"$8,400,000 ",2015-07-21
ACTON,2013-01-01,,3,2015-05-15,"$2,600,000 ","$5,100,000 ",Operating,Series A,"$2,600,000 ",2015-05-15
ACV Auctions,2014-01-01,,4,2017-03-08,"$15,000,000 ","$21,600,000 ",Operating,Seed,"$1,000,000 ",2015-08-05
ACV Auctions,2014-01-01,,4,2017-03-08,"$15,000,000 ","$21,600,000 ",Operating,Series B,"$15,000,000 ",2017-03-08
