Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage
37coins,2014-01-01,,2,2014-06-01,500000,525000,Operating,Seed,500000,2014-06-01,7229e2a2-4559-5b08-ec0c-16361b7e80da,http://www.37coins.com
37coins,2014-01-01,,2,2014-06-01,500000,525000,Operating,Seed,25000,2014-03-15,7229e2a2-4559-5b08-ec0c-16361b7e80da,http://www.37coins.com
"3D Operations, Inc.",2014-01-01,,1,2014-05-15,7500,7500,Operating,Seed,7500,2014-05-15,7b9f9d18-4cd9-f8ae-ea48-7c69be0d8254,http://www.3dops.co
3D-SensIR,2016-01-01,,1,2016-09-26,75000,75000,Operating,Seed,75000,2016-09-26,f8568bc0-ef23-3c36-7d2a-bbf83763aafd,http://www.3d-sensir.com/
3Derm Systems,2012-01-01,,5,2016-07-27,1655709,3535709,Operating,Series A,1655709,2016-07-27,a254a1ef-a338-f962-a488-7d8270d205c3,http://3derm.com
3Diligent,2014-07-23,,2,2015-03-15,900000,1150000,Operating,Seed,900000,2015-03-15,499ac893-025a-a724-29fe-6dcd65cd830f,http://www.3diligent.com
3MayDay Inc.,2013-02-08,,2,2017-03-21,80000,230000,Operating,Seed,150000,2013-11-16,a475e1ef-4a51-25ce-749d-09a8bd4b3302,http://www.3mayday.com
3MayDay Inc.,2013-02-08,,2,2017-03-21,80000,230000,Operating,Seed,80000,2017-03-21,a475e1ef-4a51-25ce-749d-09a8bd4b3302,http://www.3mayday.com
3TEN8,2013-08-15,,1,2015-04-15,1670000,1670000,Operating,Seed,1670000,2015-04-15,2e4eea40-ec8e-f51e-53f1-738ea28afb47,http://www.3ten8.com/
3blades,2015-09-01,,1,2015-05-10,100000,100000,Operating,Seed,100000,2015-05-10,3cd81f93-bfed-da67-0432-8c67eeb0e52b,https://www.3blades.io
410 Medical,2013-01-01,,3,2017-06-21,2100000,7574993,Operating,Series A,3274993,2017-03-23,0fa81e32-22ea-0995-da52-f0cffd0f9e65,http://410medical.com/
410 Medical,2013-01-01,,3,2017-06-21,2100000,7574993,Operating,Series A,2100000,2017-06-21,0fa81e32-22ea-0995-da52-f0cffd0f9e65,http://410medical.com/
44LAB5,2015-01-05,,1,2015-05-31,450000,450000,Operating,Seed,450000,2015-05-31,8309fd71-c274-096f-f5f9-618d3d083e0d,http://44lab5.com
46 Degrees Technologies,2015-09-30,,1,2016-04-20,2000000,2000000,Operating,Seed,2000000,2016-04-20,35913f72-31b2-cea5-0481-14477d831818,http://www.46degrees.net/
4D Healthware,2012-01-01,,2,2017-02-27,800000,1500000,Operating,Seed,800000,2017-02-27,7c5c85fc-d5e9-c5f4-47ef-6caf3e4e3bfe,http://4dhealthware.com/
4D Healthware,2012-01-01,,2,2017-02-27,800000,1500000,Operating,Seed,700000,2015-06-02,7c5c85fc-d5e9-c5f4-47ef-6caf3e4e3bfe,http://4dhealthware.com/
4G Clinical,2015-01-01,,2,2016-10-19,5000000,7500000,Operating,Series A,5000000,2016-10-19,e94407ea-d3a5-0f75-f3d0-30ab8a43ac44,http://4gclinical.com/
4G Clinical,2015-01-01,,2,2016-10-19,5000000,7500000,Operating,Series A,2500000,2016-01-29,e94407ea-d3a5-0f75-f3d0-30ab8a43ac44,http://4gclinical.com/
4ME4WE,2012-03-01,,3,2016-03-01,700000,1400000,Operating,Seed,450000,2014-07-15,33e88510-8b7b-6d08-ee2c-30ccfce0b465,http://www.4me4we.com
4ME4WE,2012-03-01,,3,2016-03-01,700000,1400000,Operating,Seed,250000,2015-01-15,33e88510-8b7b-6d08-ee2c-30ccfce0b465,http://www.4me4we.com
4ME4WE,2012-03-01,,3,2016-03-01,700000,1400000,Operating,Series A,700000,2016-03-01,33e88510-8b7b-6d08-ee2c-30ccfce0b465,http://www.4me4we.com
4Soils,2012-01-01,,1,2013-08-26,50000,50000,Operating,Seed,50000,2013-08-26,36c042c2-717c-6b1a-da4f-1166e2923ceb,http://www.4soils.com
4theTable,2014-06-01,,1,2015-11-11,500000,500000,Operating,Seed,500000,2015-11-11,3a176eab-afe2-38ed-b7b6-fbb64bf80dc6,http://www.4thetable.com
4wrdtech,2015-05-29,,1,2015-12-08,80000,80000,Closed,Seed,80000,2015-12-08,84420e62-94f4-ea62-4ed9-711a96f467c9,https://4wrdtech.com
5 Million Shoppers,2014-01-01,,1,2014-08-07,15000,15000,Operating,Seed,15000,2014-08-07,e22678f2-667c-2a63-22a7-4b64f9e65df3,http://5mshoppers.com/
5miles,2014-01-01,,3,2016-01-26,30000000,52000000,Operating,Series A,5000000,2015-02-01,15dff926-6ec2-38a1-2ee4-dcd01a69c39c,http://www.5milesapp.com
5miles,2014-01-01,,3,2016-01-26,30000000,52000000,Operating,Series B,30000000,2016-01-26,15dff926-6ec2-38a1-2ee4-dcd01a69c39c,http://www.5milesapp.com
5miles,2014-01-01,,3,2016-01-26,30000000,52000000,Operating,Series B,17000000,2015-05-01,15dff926-6ec2-38a1-2ee4-dcd01a69c39c,http://www.5milesapp.com
5th Avenue Media,2012-07-04,,1,2012-09-02,250000,250000,Operating,Seed,250000,2012-09-02,ecceafdd-2bbe-78a9-b6f6-dc2ae71ef318,http://5thavemedia.com
6 River Systems,2015-01-01,,2,2017-07-26,15000000,21000000,Operating,Seed,6000000,2016-03-29,12dc5b63-04bf-23c6-1d54-cf0d9e38817e,http://www.6river.com/
6 River Systems,2015-01-01,,2,2017-07-26,15000000,21000000,Operating,Series A,15000000,2017-07-26,12dc5b63-04bf-23c6-1d54-cf0d9e38817e,http://www.6river.com/
70 Million Jobs,2016-01-01,,1,2017-07-01,120000,120000,Operating,Seed,120000,2017-07-01,0977a18b-f3b5-6e9f-751d-dba7e83fb427,https://www.70millionjobs.com/
75F,2012-01-01,,4,2015-10-01,2000000,2855000,Operating,Seed,2000000,2015-10-01,ff6ad078-b387-ec46-0b79-422d160fa012,http://75f.io
75F,2012-01-01,,4,2015-10-01,2000000,2855000,Operating,Seed,650000,2015-03-21,ff6ad078-b387-ec46-0b79-422d160fa012,http://75f.io
75F,2012-01-01,,4,2015-10-01,2000000,2855000,Operating,Seed,100000,2014-10-08,ff6ad078-b387-ec46-0b79-422d160fa012,http://75f.io
7Park Data,2012-01-01,,1,2015-08-26,3000000,3000000,Operating,Series A,3000000,2015-08-26,9019e437-4d09-adf1-0e60-a15e136521ab,http://7parkdata.com
7pm anywhere,2012-01-01,,1,2013-04-03,50000,50000,Operating,Seed,50000,2013-04-03,66123815-4178-76c0-e5b0-66c3f2c86660,http://7pmanywhere.com
8 Inc.,2013-03-01,,2,2014-08-01,3100000,4500000,Operating,Seed,3100000,2014-08-01,26690ae2-7590-92a9-08e9-b2da6b2e6800,https://the8app.com
8 Inc.,2013-03-01,,2,2014-08-01,3100000,4500000,Operating,Seed,1400000,2013-07-01,26690ae2-7590-92a9-08e9-b2da6b2e6800,https://the8app.com
800 Digital Agency,2013-08-29,,1,2014-01-24,100000,100000,Operating,Seed,100000,2014-01-24,619a9863-be72-2283-4dca-f692be44ce14,https://800.digital/
800razors,2012-01-01,,1,2013-02-19,100000,100000,Was Acquired,Series A,100000,2013-02-19,780b9eb9-cba9-7e56-b53f-fc7d202e38eb,http://www.800razors.com
818 Sports & Entertainment,2012-01-01,,2,2013-05-30,25000000,27000000,Operating,Seed,2000000,2013-03-15,4b8f4fbc-d911-1485-26a5-9ad75d12dcea,http://www.818se.com/
818 Sports & Entertainment,2012-01-01,,2,2013-05-30,25000000,27000000,Operating,Series A,25000000,2013-05-30,4b8f4fbc-d911-1485-26a5-9ad75d12dcea,http://www.818se.com/
8Stem,2013-01-01,,1,2015-06-01,465000,465000,Operating,Seed,465000,2015-06-01,a9ad84af-157c-dd73-f22a-8c733e778726,http://www.8stem.com/
908 Devices,2012-01-01,,5,2017-03-15,20000000,49300000,Operating,Series A,8100000,2012-09-05,9c3b4ae4-72af-b6d6-3f02-9c811f56fb40,http://908devices.com
908 Devices,2012-01-01,,5,2017-03-15,20000000,49300000,Operating,Series B,7000000,2013-08-27,9c3b4ae4-72af-b6d6-3f02-9c811f56fb40,http://908devices.com
908 Devices,2012-01-01,,5,2017-03-15,20000000,49300000,Operating,Series C,11600000,2015-05-06,9c3b4ae4-72af-b6d6-3f02-9c811f56fb40,http://908devices.com
908 Devices,2012-01-01,,5,2017-03-15,20000000,49300000,Operating,Series D,20000000,2017-03-15,9c3b4ae4-72af-b6d6-3f02-9c811f56fb40,http://908devices.com
99Gamers,2012-06-01,,1,2014-11-01,100000,100000,Operating,Seed,100000,2014-11-01,2fcd2e1d-549c-533b-b95b-9a3f02b110c4,http://www.99gamers.com
A Curated World,2012-01-01,,1,2012-04-01,50000,50000,Operating,Seed,50000,2012-04-01,cf53f039-9797-071d-71bb-20ee9e2a38a9,http://kaymcgowan.com
A ONE C LifeBox,2016-02-01,,1,2016-02-01,100000,100000,Operating,Seed,100000,2016-02-01,917ff7bb-1624-da15-38a5-81228945a395,http://www.aoneclifebox.com
A-Net,2015-10-24,,1,2016-05-20,500000,500000,Operating,Seed,500000,2016-05-20,ca89713a-2ba1-7e7c-dc40-498a3d888cc4,http://a-net.mobi
A4C,2014-01-24,,1,2014-01-24,1000000,1000000,Operating,Seed,1000000,2014-01-24,4d2c12d7-94f2-cc24-d333-20d4f31d1ce4,http://www.a4c.com
A4C,2014-01-24,,1,2014-01-24,1000000,1000000,Operating,Seed,1000000,2014-01-24,08a9859d-7754-99f8-1c3a-7af0643508a2,http://www.a4c.us
"ACAExpress.com, Inc.",2014-04-01,,1,2015-07-01,1000000,1000000,Operating,Seed,1000000,2015-07-01,a8626ba2-9158-fdbc-7387-1e0c075110a7,http://www.acaexpress.com
ACME Advanced Materials,2013-01-01,,1,2015-09-15,450000,450000,Operating,Seed,450000,2015-09-15,46367d48-0f31-5fc4-1d8e-dc92eda6c09b,http://www.a2-m.com/
ACT.md,2012-01-01,,1,2015-07-21,8400000,8400000,Operating,Series A,8400000,2015-07-21,76ceb632-3f27-6291-9b18-b7ea9764156a,http://act.md
ACTON,2013-01-01,,3,2015-05-15,2600000,5100000,Operating,Series A,2600000,2015-05-15,e42b6da9-bb6e-178a-34d2-7783bfd5c5f9,http://www.actonglobal.com
ACV Auctions,2014-01-01,,4,2017-03-08,15000000,21600000,Operating,Seed,1000000,2015-08-05,2de58174-7aa2-dcf3-4af3-89f9d0f8eec6,https://www.acvauctions.com/
ACV Auctions,2014-01-01,,4,2017-03-08,15000000,21600000,Operating,Series B,15000000,2017-03-08,2de58174-7aa2-dcf3-4af3-89f9d0f8eec6,https://www.acvauctions.com/
ACV Auctions,2014-01-01,,4,2017-03-08,15000000,21600000,Operating,Series B,5000000,2016-09-19,2de58174-7aa2-dcf3-4af3-89f9d0f8eec6,https://www.acvauctions.com/
