Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage,Total Visits,Avg Visit Duration,Pages Per Visit,Bounce Rate
SavySwap,6/1/2012,,1,5/1/2014,20000,20000,Closed,Seed,20000,5/1/2014,6b80cf71c37fdd6d8dafed78f86d5e2d,http://savyswap.co,<12K,,,
Scoot & Doodle,1/1/2012,9/16/2016,1,3/7/2013,2250000,2250000,Closed,Seed,2250000,3/7/2013,113209a89e507cfd0978984985b0b846,http://scootdoodle.com,<12K,0:01:11,2.13,62.88%
SeatSwapr,4/27/2012,7/1/2013,1,7/27/2012,10000,10000,Closed,Seed,10000,7/27/2012,611cc7d6ad0ac3a0bc3194db9b5ac594,http://www.seatswapr.com,<12K,,,
Secret,10/1/2013,4/1/2015,3,7/14/2014,25000000,35025000,Closed,Series B,25000000,7/14/2014,cc4b3bbf88c8157efe9922e653e1a7e4,http://www.secret.ly,15.33K,0:00:05,1.3,39.28%
Serica,7/1/2014,,2,9/1/2015,120000,120000,Closed,Seed,120000,9/1/2015,dd9e6b98a792b8a27ca6976da9d64c0e,http://www.sericatrading.com,<12K,0:00:28,2.08,34.76%
ShopTap Industries,1/1/2012,12/8/2015,4,4/10/2014,10000000,16200000,Closed,Series A,5500000,11/24/2013,96d8845079d6d9255489c6758ef1c9b9,https://www.thehunt.com/,1.81M,0:00:55,2.05,68.16%
Shuddle,1/1/2014,4/15/2016,2,3/18/2015,9600000,12200000,Closed,Series A,9600000,3/18/2015,734b06eabe2bfa5d9fb15165e6b7e368,https://shuddle.us/,<12K,,1.08,91.84%
Smart Lanes,1/1/2013,1/27/2015,1,3/1/2015,15000,15000,Closed,Seed,15000,3/1/2015,002194d5e7cfcc7886ca4213f8edf62b,http://smartlanestechnologies.com/,<12K,,,
"SmartStay, Inc",3/15/2014,,2,8/8/2014,20000,20000,Closed,Seed,20000,8/8/2014,80ac5ee9221f90b8010214f79eb3f517,http://smartstay.io,<12K,,,
SocialThreader,7/2/2012,1/1/2014,2,12/1/2012,25000,45000,Closed,Seed,20000,10/3/2012,ffe1289205c4e8e4d728d9b54e7b3aeb,http://socialthreader.com,<12K,,,
Solid Innovations,1/1/2015,4/1/2016,1,4/1/2016,300000,300000,Closed,Seed,300000,4/1/2016,f96580b47310ed80bca7b5b7fa7dfe92,http://www.solidinnovations.net/,,,,
SoundRoadie,7/1/2012,,1,7/15/2012,60000,60000,Closed,Seed,60000,7/15/2012,741aa75e710ac876cde8f3e11a7da944,http://www.soundroadie.com,<12K,,,
Soundstache,1/1/2013,,1,3/1/2013,15000,15000,Closed,Seed,15000,3/1/2013,2dd25fb3ce9b6f2a050a761d7e025905,http://soundstache.net/,<12K,,,
Spiffy Society,10/23/2012,,2,11/15/2013,300000,800000,Closed,Seed,500000,10/12/2012,04216151c32e2c64dad181ff20706d70,http://www.spiffysociety.com,<12K,,,
Spotster,6/1/2012,,1,1/1/2012,250000,250000,Closed,Seed,250000,1/1/2012,ebd17196ca19198b2109d4283a5b40ba,http://spotster.com,<12K,,,
Sprig,4/1/2013,5/26/2017,4,4/15/2015,45000000,56700000,Closed,Seed,1200000,11/6/2013,38ed99e6f8290f42de8593b881732188,http://www.sprig.com/,<12K,0:00:48,1.5,68.95%
Sqwiggle,2/1/2013,,1,8/29/2013,1100000,1100000,Closed,Seed,1100000,8/29/2013,feadd48f3e5533acfeb00907e7c85c50,http://www.sqwiggle.com,<12K,0:00:07,1.22,83.53%
Stand Offer,8/2/2012,1/1/2014,2,9/15/2012,2000,4500,Closed,Seed,2000,9/15/2012,41da7a6af69e49c0553640fa7556df7a,http://www.standoffer.com,<12K,,,
Starbates,1/1/2012,,1,2/14/2012,20000,20000,Closed,Seed,20000,2/14/2012,f4540f6748e330ddff96d4f86a95037a,http://www.starbates.com,<12K,,,
Starboard Storage Systems,2/13/2012,1/1/2014,1,5/13/2012,13000000,13000000,Closed,Series B,13000000,5/13/2012,7e4dc1806856cc05ea4bf0afb523370b,http://www.starboardstorage.com,<12K,0:00:29,4,
Status,1/1/2014,1/1/2015,1,3/5/2014,750000,750000,Closed,Seed,750000,3/5/2014,23ba035053a95306864807501700efd3,http://statushq.com,<12K,,,
Sumpto,7/30/2012,3/1/2015,2,10/22/2013,350000,425000,Closed,Seed,350000,10/22/2013,c9c9d608ac83532b9ea54501445d89e2,http://www.sumpto.com,<12K,,,
SunnyBump,1/1/2012,,1,12/15/2012,375000,375000,Closed,Seed,375000,12/15/2012,d118e0e3f0284ecede6f342fd06f0514,http://www.sunnybump.com,<12K,0:00:16,1.15,25.56%
SupplySeeker.com,2/1/2012,11/1/2013,1,2/1/2012,100000,100000,Closed,Seed,100000,2/1/2012,cafbdec3909a2383fd39e5bdbfae4f92,http://www.supplyseeker.com,<12K,,,
SweetSlap,8/1/2012,7/1/2013,1,8/1/2012,50000,50000,Closed,Seed,50000,8/1/2012,eaceb5e2539fcbb5edbb79e74d819cb5,http://www.sweetslap.com,<12K,,1,100.00%
TagaPet,4/20/2012,,3,2/1/2014,57000,77000,Closed,Seed,20000,10/14/2013,1e4fb402a27b4d4c21ad4c103719c6bd,http://www.tagapet.com,<12K,,,
TenderTree,1/1/2012,11/1/2013,1,11/14/2012,1300000,1300000,Closed,Seed,1300000,11/14/2012,7ed3bf769c0193339e6966256a32b8c9,http://www.tendertree.com,<12K,0:00:16,1.43,56.67%
Text And The City,1/1/2012,,4,4/1/2014,10000,100830,Closed,Seed,10000,4/1/2014,2a80955244866288774fee14a40b9b60,http://www.textandthecity.com,<12K,,,
The Happy Home Company,1/1/2014,11/1/2016,1,12/22/2015,3500000,3500000,Closed,Seed,3500000,12/22/2015,3a1509075bb8b1fd304aac1b93552230,http://www.thehappyhome.co,<12K,0:00:57,1.29,71.20%
Thryve,1/1/2012,,1,4/1/2012,50000,50000,Closed,Seed,50000,4/1/2012,3a291ce01fa3309b0cb8ef13afc7c55b,http://www.thryveapp.com/,<12K,0:00:23,1.56,43.68%
Tittat,1/1/2012,,1,7/10/2013,220000,220000,Closed,Seed,220000,7/10/2013,13d19d877fd764d5792fa02181d78cef,http://www.titt.at,<12K,,,
