Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date
5miles,https://www.crunchbase.com/organization/5miles,Series B,"$30,000,000 ",1/26/16
5miles,https://www.crunchbase.com/organization/5miles,Series B,"$17,000,000 ",5/1/15
5th Avenue Media,https://www.crunchbase.com/organization/5th-avenue-media,Seed,"$250,000 ",9/2/12
6 River Systems,https://www.crunchbase.com/organization/6-river-systems,Seed,"$6,000,000 ",3/29/16
6 River Systems,https://www.crunchbase.com/organization/6-river-systems,Series A,"$15,000,000 ",7/26/17
640 Labs,https://www.crunchbase.com/organization/640-labs,Seed,"$2,700,000 ",7/7/14
6sense,https://www.crunchbase.com/organization/6sense,Series A,"$16,000,000 ",5/20/14
6sense,https://www.crunchbase.com/organization/6sense,Series B,"$20,000,000 ",2/19/15
70 Million Jobs,https://www.crunchbase.com/organization/70-million-jobs,Seed,"$120,000 ",7/1/17
75F,https://www.crunchbase.com/organization/75-fahrenheit,Seed,"$2,000,000 ",10/1/15
75F,https://www.crunchbase.com/organization/75-fahrenheit,Seed,"$650,000 ",3/21/15
75F,https://www.crunchbase.com/organization/75-fahrenheit,Seed,"$100,000 ",10/8/14
7mb Technologies,https://www.crunchbase.com/organization/7mb-technologies,Seed,"$350,075 ",10/28/13
7Park Data,https://www.crunchbase.com/organization/7park-data,Series A,"$3,000,000 ",8/26/15
7pm anywhere,https://www.crunchbase.com/organization/7pm-anywhere,Seed,"$50,000 ",4/3/13
8 Inc.,https://www.crunchbase.com/organization/8-inc,Seed,"$3,100,000 ",8/1/14
8 Inc.,https://www.crunchbase.com/organization/8-inc,Seed,"$1,400,000 ",7/1/13
800 Digital Agency,https://www.crunchbase.com/organization/dadajoe-com,Seed,"$100,000 ",1/24/14
800razors,https://www.crunchbase.com/organization/800razors,Series A,"$100,000 ",2/19/13
818 Sports & Entertainment,https://www.crunchbase.com/organization/818-sports-entertainment,Seed,"$2,000,000 ",3/15/13
818 Sports & Entertainment,https://www.crunchbase.com/organization/818-sports-entertainment,Series A,"$25,000,000 ",5/30/13
8Stem,https://www.crunchbase.com/organization/8stem,Seed,"$465,000 ",6/1/15
8th Wall,https://www.crunchbase.com/organization/8th-wall,Seed,"$2,400,000 ",11/23/16
908 Devices,https://www.crunchbase.com/organization/908-devices,Series A,"$8,100,000 ",9/5/12
908 Devices,https://www.crunchbase.com/organization/908-devices,Series B,"$7,000,000 ",8/27/13
908 Devices,https://www.crunchbase.com/organization/908-devices,Series C,"$11,600,000 ",5/6/15
908 Devices,https://www.crunchbase.com/organization/908-devices,Series D,"$20,000,000 ",3/15/17
99Gamers,https://www.crunchbase.com/organization/99gamers,Seed,"$100,000 ",11/1/14
A Curated World,https://www.crunchbase.com/organization/a-curated-world,Seed,"$50,000 ",4/1/12
A ONE C LifeBox,https://www.crunchbase.com/organization/a-one-c-lifebox,Seed,"$100,000 ",2/1/16
A-Net,https://www.crunchbase.com/organization/a-net,Seed,"$500,000 ",5/20/16
A4C,https://www.crunchbase.com/organization/white-label-uber-like-software-for-high-end-ground-tranportation-companies,Seed,"$1,000,000 ",1/24/14
aa,https://www.crunchbase.com/organization/busy-street,Seed,"$150,000 ",1/10/13
aa,https://www.crunchbase.com/organization/busy-street,Seed,"$50,000 ",5/10/12
Aaptiv,https://www.crunchbase.com/organization/skyfit,Seed,"$1,070,000 ",5/25/16
Aaptiv,https://www.crunchbase.com/organization/skyfit,Seed,"$450,000 ",1/29/16
AardvarkCompare.com,https://www.crunchbase.com/organization/aardvarkcompare-com,Seed,"$150,000 ",5/15/15
Abacus Labs,https://www.crunchbase.com/organization/abacus-labs,Seed,"$3,500,000 ",10/29/14
Abakus,https://www.crunchbase.com/organization/abakus,Seed,"$825,000 ",12/25/13
AbbeyPost,https://www.crunchbase.com/organization/abbeypost,Seed,"$425,000 ",7/11/14
AbbeyPost,https://www.crunchbase.com/organization/abbeypost,Seed,"$225,000 ",4/6/14
AbbeyPost,https://www.crunchbase.com/organization/abbeypost,Seed,"$100,000 ",1/30/14
AbbeyPost,https://www.crunchbase.com/organization/abbeypost,Seed,"$25,000 ",7/30/13
Abbott NYC,https://www.crunchbase.com/organization/abbott-new-york-city,Seed,"$400,000 ",6/6/15
AbiliLife,https://www.crunchbase.com/organization/abililife,Seed,"$50,000 ",8/18/15
aBioBot,https://www.crunchbase.com/organization/abiobot,Seed,"$50,000 ",2/3/15
Abl Schools,https://www.crunchbase.com/organization/abl-schools,Seed,"$4,500,000 ",1/15/16
Abl Schools,https://www.crunchbase.com/organization/abl-schools,Series A,"$7,500,000 ",6/29/17
Able Device,https://www.crunchbase.com/organization/able-device,Seed,"$50,000 ",8/27/12
Able Health,https://www.crunchbase.com/organization/able-health,Seed,"$120,000 ",11/1/15
ablio,https://www.crunchbase.com/organization/ablio,Seed,"$250,000 ",1/15/15
abode,https://www.crunchbase.com/organization/abode,Seed,"$1,000,000 ",10/1/14
Abom,https://www.crunchbase.com/organization/abom,Series A,"$8,600,000 ",9/9/16
aboutLife,https://www.crunchbase.com/organization/aboutlife,Series A,"$3,000,000 ",9/30/15
Above Average,https://www.crunchbase.com/organization/above-average,Series B,"$15,000,000 ",7/20/16
Abovo42 Corporation,https://www.crunchbase.com/organization/abovo42-corporation,Seed,"$500,000 ",8/5/15
Abra,https://www.crunchbase.com/organization/abra,Series A,"$12,000,000 ",9/10/15
Abra,https://www.crunchbase.com/organization/abra,Series A,"$2,000,000 ",3/5/15
Abreos Biosciences,https://www.crunchbase.com/organization/abreos-biosciences,Seed,"$725,000 ",7/13/16
Absolute Commerce,https://www.crunchbase.com/organization/absolute-commerce,Seed,"$200,000 ",5/9/14
Abundant Robotics,https://www.crunchbase.com/organization/abundant-robotics,Seed,"$2,000,000 ",3/1/16
Abundant Robotics,https://www.crunchbase.com/organization/abundant-robotics,Series A,"$10,000,000 ",5/4/17
Acacia Interactive,https://www.crunchbase.com/organization/kiwi-2,Seed,"$762,000 ",3/29/13
Acacia Interactive,https://www.crunchbase.com/organization/kiwi-2,Seed,"$15,000 ",5/20/12
Acacia Interactive,https://www.crunchbase.com/organization/kiwi-2,Seed,"$15,000 ",9/1/12
Acacia Trading,https://www.crunchbase.com/organization/acacia-trading,Seed,"$3,300 ",10/20/14
"ACAExpress.com, Inc.",https://www.crunchbase.com/organization/acaexpress-com-inc,Seed,"$1,000,000 ",7/1/15
Acalvio Technologies,https://www.crunchbase.com/organization/acalvio-technologies,Series A,"$6,300,000 ",8/26/15
Acalvio Technologies,https://www.crunchbase.com/organization/acalvio-technologies,Series B,"$17,000,000 ",7/26/16
Acalvio Technologies,https://www.crunchbase.com/organization/acalvio-technologies,Series B,"$9,750,000 ",6/30/16
Accel Diagnostics,https://www.crunchbase.com/organization/accel-diagnostics,Seed,"$25,000 ",2/10/12
Accelerate Learning,https://www.crunchbase.com/organization/accelerate-learning,Series A,"$10,000,000 ",5/24/16
Accend,https://www.crunchbase.com/organization/drill-map,Series A,"$6,500,000 ",8/7/13
Accend,https://www.crunchbase.com/organization/drill-map,Series A,"$679,849 ",11/19/12
Accern,https://www.crunchbase.com/organization/accern,Seed,"$1,250,000 ",5/15/17
Access Innovation LLC,https://www.crunchbase.com/organization/access-innovation-llc,Seed,"$700,000 ",8/1/16
Accion Systems,https://www.crunchbase.com/organization/accion-systems,Seed,"$2,000,000 ",1/5/15
Accion Systems,https://www.crunchbase.com/organization/accion-systems,Series A,"$7,500,000 ",5/12/16
Acclaimd,https://www.crunchbase.com/organization/acclaimd,Seed,"$70,000 ",8/7/12
Acclaimd,https://www.crunchbase.com/organization/acclaimd,Seed,"$20,000 ",6/1/12
Accompany,https://www.crunchbase.com/organization/accompany,Seed,"$5,600,000 ",7/5/13
Accompany,https://www.crunchbase.com/organization/accompany,Series A,"$15,000,000 ",11/19/14
Accompany,https://www.crunchbase.com/organization/accompany,Series B,"$20,000,000 ",12/5/16
Accomplice,https://www.crunchbase.com/organization/accompliceio,Series A,"$5,000,000 ",3/3/15
Accordion Health,https://www.crunchbase.com/organization/accordion-health,Seed,"$1,000,000 ",11/1/15
Accordion Health,https://www.crunchbase.com/organization/accordion-health,Seed,"$150,000 ",7/2/14
Accredible,https://www.crunchbase.com/organization/accredible,Seed,"$3,500,000 ",7/1/16
"Accrualify, Inc.",https://www.crunchbase.com/organization/accrualify-inc,Seed,"$600,000 ",5/9/17
Acculitx,https://www.crunchbase.com/organization/acculitx,Series A,"$1,000,000 ",6/30/15
AccuPS,https://www.crunchbase.com/organization/accups,Seed,"$100,000 ",2/10/17
AccuraGen Holdings,https://www.crunchbase.com/organization/accuragen-holdings,Series B,"$40,000,000 ",6/1/16
Accuronix Therapeutics,https://www.crunchbase.com/organization/accuronix-therapeutics,Seed,"$625,000 ",1/28/16
Ace & Everett,https://www.crunchbase.com/organization/ace-everett-new-york,Seed,"$360,000 ",3/1/16
Aceable,https://www.crunchbase.com/organization/aceable,Seed,"$4,700,000 ",10/1/15
Aceable,https://www.crunchbase.com/organization/aceable,Series A,"$4,000,000 ",9/23/16
AceBot.ai,https://www.crunchbase.com/organization/acebot-ai,Seed,"$650,000 ",8/10/16
Acer Therapeutics,https://www.crunchbase.com/organization/acer-therapeutics,Series B,"$8,149,998 ",5/6/16
Acera Surgical,https://www.crunchbase.com/organization/acera-surgical,Seed,"$600,000 ",8/8/13
Achieve Lending,https://www.crunchbase.com/organization/achieve-lending,Seed,"$50,000 ",7/31/14
Aclaris Therapeutics,https://www.crunchbase.com/organization/aclaris-therapeutics,Series A,"$21,000,000 ",10/24/12
Aclaris Therapeutics,https://www.crunchbase.com/organization/aclaris-therapeutics,Series B,"$21,000,000 ",10/2/14
Aclaris Therapeutics,https://www.crunchbase.com/organization/aclaris-therapeutics,Series C,"$40,000,000 ",9/9/15
ACME Advanced Materials,https://www.crunchbase.com/organization/acme-advanced-materials,Seed,"$450,000 ",9/15/15
Acompli,https://www.crunchbase.com/organization/acompli-inc,Series A,"$7,300,000 ",6/4/13
Acopio,https://www.crunchbase.com/organization/acopio,Seed,"$20,000 ",4/1/12
Acorns,https://www.crunchbase.com/organization/acorns-grow,Seed,"$300,000 ",6/1/12
Acorns,https://www.crunchbase.com/organization/acorns-grow,Series A,"$2,500,000 ",10/1/13
Acorns,https://www.crunchbase.com/organization/acorns-grow,Series B,"$6,160,000 ",3/14/14
Acorns,https://www.crunchbase.com/organization/acorns-grow,Series C,"$23,000,000 ",4/15/15
Acorns,https://www.crunchbase.com/organization/acorns-grow,Series D,"$34,000,000 ",11/1/16
Acorns,https://www.crunchbase.com/organization/acorns-grow,Series D,"$30,000,000 ",4/21/16
Acquaintable,https://www.crunchbase.com/organization/acquaintable,Seed,"$40,000 ",1/7/13
Acre Designs,https://www.crunchbase.com/organization/acre-designs,Seed,"$1,400,000 ",11/21/15
Acrobatiq,https://www.crunchbase.com/organization/acrobatiq,Series A,"$9,750,000 ",7/28/15
ACT.md,https://www.crunchbase.com/organization/act-md,Series A,"$8,400,000 ",7/21/15
Actionable Quality Assurance,https://www.crunchbase.com/organization/actionable-quality-assurance,Seed,"$2,000,000 ",8/15/17
ActionIQ,https://www.crunchbase.com/organization/actioniq,Seed,"$2,000,000 ",8/21/14
ActionIQ,https://www.crunchbase.com/organization/actioniq,Series A,"$13,000,000 ",4/3/17
ActionSprout,https://www.crunchbase.com/organization/actionsprout,Series A,"$1,700,000 ",2/11/15
ActionStreamer,https://www.crunchbase.com/organization/action-streamer-2,Seed,"$1,880,000 ",7/25/17
ActionX,https://www.crunchbase.com/organization/actionx,Seed,"$2,000,000 ",3/1/12
ActionX,https://www.crunchbase.com/organization/actionx,Series A,"$3,000,000 ",9/16/13
Activate by Bloglovin,https://www.crunchbase.com/organization/sverve,Seed,"$500,000 ",8/31/14
Activate by Bloglovin,https://www.crunchbase.com/organization/sverve,Seed,"$435,000 ",5/16/13
Activate by Bloglovin,https://www.crunchbase.com/organization/sverve,Seed,"$345,000 ",9/30/13
Activate by Bloglovin,https://www.crunchbase.com/organization/sverve,Seed,"$185,000 ",4/15/13
Activate Hub,https://www.crunchbase.com/organization/activate-hub,Seed,"$17,000 ",5/1/14
Active Location Inc.,https://www.crunchbase.com/organization/active-location-inc,Seed,"$250,000 ",12/31/13
Active Scaler,https://www.crunchbase.com/organization/active-scaler,Seed,"$28,000 ",7/1/12
Activehours,https://www.crunchbase.com/organization/activehours,Seed,"$4,099,999 ",7/23/14
Activehours,https://www.crunchbase.com/organization/activehours,Series A,"$22,000,000 ",1/9/17
Actively Learn,https://www.crunchbase.com/organization/actively-learn,Seed,"$1,029,954 ",5/6/15
Activiter,https://www.crunchbase.com/organization/activiter,Seed,"$175,000 ",4/20/16
ACTON,https://www.crunchbase.com/organization/acton,Series A,"$2,600,000 ",5/15/15
ActX,https://www.crunchbase.com/organization/actx,Seed,"$1,920,391 ",1/12/14
ActX,https://www.crunchbase.com/organization/actx,Seed,"$750,003 ",7/18/14
ACV Auctions,https://www.crunchbase.com/organization/acv-auctions,Seed,"$1,000,000 ",8/5/15
ACV Auctions,https://www.crunchbase.com/organization/acv-auctions,Series B,"$15,000,000 ",3/8/17
ACV Auctions,https://www.crunchbase.com/organization/acv-auctions,Series B,"$5,000,000 ",9/19/16
Ad Hoc Labs,https://www.crunchbase.com/organization/ad-hoc-labs-2,Series A,"$2,000,000 ",10/21/13
Ad Lightning,https://www.crunchbase.com/organization/adlightning,Seed,"$2,000,000 ",11/15/16
AdAdapted,https://www.crunchbase.com/organization/adadapted,Seed,"$460,000 ",5/7/15
AdAdapted,https://www.crunchbase.com/organization/adadapted,Seed,"$400,000 ",7/9/14
AdAdapted,https://www.crunchbase.com/organization/adadapted,Seed,"$325,000 ",1/29/14
Adallom,https://www.crunchbase.com/organization/adallom,Series A,"$4,500,000 ",12/1/12
Adallom,https://www.crunchbase.com/organization/adallom,Series B,"$15,000,000 ",1/20/14
Adallom,https://www.crunchbase.com/organization/adallom,Series C,"$30,000,000 ",4/14/15
Adamant Energy,https://www.crunchbase.com/organization/adamant-energy,Seed,"$250,000 ",7/21/15
Adapt Ready,https://www.crunchbase.com/organization/adapt-ready,Seed,"15,000",4/26/17
AdaptiveWell Technologies,https://www.crunchbase.com/organization/adaptivewell-technologies,Seed,"$675,000 ",9/1/14
AdaptiveWell Technologies,https://www.crunchbase.com/organization/adaptivewell-technologies,Seed,"$125,000 ",7/1/15
Adara Power Inc.,https://www.crunchbase.com/organization/juicebox-energy,Seed,"$1,000,000 ",11/15/14
AdBm Technologies,https://www.crunchbase.com/organization/adbm-technologies,Series A,"$1,300,000 ",10/3/14
AdBuddy Inc,https://www.crunchbase.com/organization/adbuddy,Seed,"$100,000 ",9/1/12
Addapp,https://www.crunchbase.com/organization/addapp,Seed,"$1,800,000 ",4/4/14
Addiction Campuses of America,https://www.crunchbase.com/organization/addiction-campuses-of-america,Series A,"$5,500,000 ",5/28/14
Addiction Campuses of America,https://www.crunchbase.com/organization/addiction-campuses-of-america,Series C,"$3,000,000 ",5/15/15
AddStructure,https://www.crunchbase.com/organization/addstructure,Seed,"$1,850,000 ",2/27/17
AddStructure,https://www.crunchbase.com/organization/addstructure,Seed,"$450,000 ",2/14/17
AddStructure,https://www.crunchbase.com/organization/addstructure,Seed,"$80,000 ",5/25/15
Addvocate,https://www.crunchbase.com/organization/addvocate,Seed,"$339,000 ",5/15/13
Addvocate,https://www.crunchbase.com/organization/addvocate,Series A,"$2,390,000 ",7/24/13
Adello Inc,https://www.crunchbase.com/organization/adello-group,Series A,"$2,000,000 ",8/12/14
Ader,https://www.crunchbase.com/organization/ader,Seed,"$125,000 ",12/27/15
AdEspresso,https://www.crunchbase.com/organization/adespresso,Seed,"$1,300,000 ",6/24/14
AdEspresso,https://www.crunchbase.com/organization/adespresso,Seed,"$500,000 ",12/25/13
AdEspresso,https://www.crunchbase.com/organization/adespresso,Series A,"$1,400,000 ",5/6/16
ADEXT,https://www.crunchbase.com/organization/adext,Seed,"$3,000,000 ",12/1/16
AdHawk,https://www.crunchbase.com/organization/adhawk,Seed,"$1,400,000 ",11/18/15
