Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date
CirroSecure,https://www.crunchbase.com/organization/cirrosecure,Seed,"$1,600,000 ",5/7/14
Cirrus Identity,https://www.crunchbase.com/organization/cirrus-identity,Seed,"$100,000 ",10/13/15
Cirrus Identity,https://www.crunchbase.com/organization/cirrus-identity,Seed,"$100,000 ",9/1/16
CirrusMD,https://www.crunchbase.com/organization/cirrusmd,Seed,"$1,750,000 ",1/20/17
CirrusMD,https://www.crunchbase.com/organization/cirrusmd,Series A,"$7,000,000 ",6/20/17
Cista System,https://www.crunchbase.com/organization/cista-system,Series A,"$5,000,000 ",2/5/14
Cista System,https://www.crunchbase.com/organization/cista-system,Series B,"$19,900,000 ",2/14/16
CITIA,https://www.crunchbase.com/organization/citia,Seed,"$2,200,000 ",1/1/13
Citizengine,https://www.crunchbase.com/organization/citizengine,Seed,"$1,242,588 ",9/1/12
Citizengine,https://www.crunchbase.com/organization/citizengine,Seed,"$1,000,000 ",11/1/13
Citizengine,https://www.crunchbase.com/organization/citizengine,Series A,"$762,499 ",1/6/14
Citizengine,https://www.crunchbase.com/organization/citizengine,Series A,"$717,500 ",9/30/14
Citra Health Solutions,https://www.crunchbase.com/organization/orange-health-solutions,Series A,"$22,500,000 ",4/15/14
Citrine Informatics,https://www.crunchbase.com/organization/citrine-informatics,Series A,"$7,600,000 ",6/8/17
City Share Living,https://www.crunchbase.com/organization/city-share-living,Seed,"$2,500,000 ",7/10/17
City Share Living,https://www.crunchbase.com/organization/city-share-living,Seed,"$1,000,000 ",1/31/17
CITYBASE,https://www.crunchbase.com/organization/citybase,Series A,"$4,000,000 ",1/1/15
CITYBASE,https://www.crunchbase.com/organization/citybase,Series B,"$9,100,000 ",7/7/16
Citybot,https://www.crunchbase.com/organization/citybot,Seed,"$750,000 ",9/30/12
Civic,https://www.crunchbase.com/organization/civic,Seed,"$2,750,000 ",1/27/16
Civil Maps,https://www.crunchbase.com/organization/civil-maps,Seed,"$6,600,000 ",7/15/16
Civis Analytics,https://www.crunchbase.com/organization/civis-analytics,Series A,"$22,000,000 ",11/30/16
Claim it!,https://www.crunchbase.com/organization/claim-it-,Seed,"$2,500,000 ",8/10/17
Claire,https://www.crunchbase.com/organization/claire,Seed,"$1,800,000 ",5/8/17
Clara Foods,https://www.crunchbase.com/organization/clara-foods,Seed,"$1,700,000 ",7/9/15
Clara Foods,https://www.crunchbase.com/organization/clara-foods,Series A,"$1,700,000 ",4/8/16
Clara Labs,https://www.crunchbase.com/organization/clara-labs,Seed,"$5,000,000 ",12/1/14
Clara Labs,https://www.crunchbase.com/organization/clara-labs,Series A,"$7,000,000 ",7/19/17
Clara Lending,https://www.crunchbase.com/organization/clara-lending,Series A,"$19,300,000 ",8/17/16
Clari,https://www.crunchbase.com/organization/clari,Series A,"$6,000,000 ",4/3/14
Clari,https://www.crunchbase.com/organization/clari,Series B,"$20,000,000 ",6/17/14
Clarifai,https://www.crunchbase.com/organization/clarifai,Series A,"$10,000,000 ",4/28/15
Clarifai,https://www.crunchbase.com/organization/clarifai,Series B,"$30,000,000 ",10/25/16
Clarify Health Solutions,https://www.crunchbase.com/organization/clarify-health-solutions,Seed,"$5,998,000 ",6/10/16
Claritas Genomics,https://www.crunchbase.com/organization/claritas-genomics,Series B,"$15,000,000 ",1/26/15
Clariture,https://www.crunchbase.com/organization/clariture,Series A,"$3,500,000 ",12/16/15
Clarity,https://www.crunchbase.com/organization/clarity-2,Seed,"$1,600,000 ",12/5/12
Clarity Money,https://www.crunchbase.com/organization/clarity-money,Series A,"$3,500,000 ",5/31/16
Clarity Money,https://www.crunchbase.com/organization/clarity-money,Series B,"$11,000,000 ",3/23/17
Clarity Movement,https://www.crunchbase.com/organization/clarity-movement,Series A,"$2,114,327 ",8/30/16
Clark,https://www.crunchbase.com/organization/clark-3,Seed,"$2,500,000 ",6/27/17
Clarus Care,https://www.crunchbase.com/organization/eclinic-healthcare,Series A,"$4,000,000 ",10/1/15
ClarVista Medical,https://www.crunchbase.com/organization/clarvista-medical,Series B,"$14,520,000 ",5/20/15
Classkick,https://www.crunchbase.com/organization/classwork,Seed,"$1,700,000 ",3/11/15
ClassPass,https://www.crunchbase.com/organization/classpass,Seed,"$2,000,000 ",3/31/14
ClassPass,https://www.crunchbase.com/organization/classpass,Series A,"$12,000,000 ",9/17/14
ClassPass,https://www.crunchbase.com/organization/classpass,Series B,"$40,000,000 ",1/15/15
ClassPass,https://www.crunchbase.com/organization/classpass,Series C,"$70,000,000 ",6/16/17
ClassPass,https://www.crunchbase.com/organization/classpass,Series C,"$30,000,000 ",11/10/15
Clean Chemistry,https://www.crunchbase.com/organization/clean-chemistry,Series A,"$2,200,000 ",10/29/14
Cleanify,https://www.crunchbase.com/organization/cleanify,Seed,"$1,800,000 ",5/1/16
Cleanly,https://www.crunchbase.com/organization/cleanly,Seed,"$2,300,000 ",5/13/15
Cleanly,https://www.crunchbase.com/organization/cleanly,Series A,"$5,000,000 ",4/11/17
CleanSlate,https://www.crunchbase.com/organization/limestone-labs,Seed,"$20,000 ",2/5/15
Clear Labs,https://www.crunchbase.com/organization/clear-labs,Series A,"$6,500,000 ",9/15/15
Clear Labs,https://www.crunchbase.com/organization/clear-labs,Series B,"$13,000,000 ",12/13/16
Clear Software,https://www.crunchbase.com/organization/clear-software,Seed,"$1,000,000 ",8/13/15
Clearbit,https://www.crunchbase.com/organization/clearbit,Seed,"$2,000,000 ",3/3/15
"ClearChat, Inc.",https://www.crunchbase.com/organization/clearchat-inc,Seed,15000,3/10/17
ClearDoc,https://www.crunchbase.com/organization/cleardoc,Seed,"$1,000,000 ",2/10/17
ClearGov,https://www.crunchbase.com/organization/cleargov,Seed,"$1,200,000 ",3/29/17
ClearGraph,https://www.crunchbase.com/organization/argo,Seed,"$1,525,000 ",1/13/15
ClearMetal,https://www.crunchbase.com/organization/clearmetal,Seed,"$3,000,000 ",2/24/16
ClearMob,https://www.crunchbase.com/organization/clearmob,Seed,"$2,000,000 ",4/4/17
Clearpool Group,https://www.crunchbase.com/organization/clearpool-group,Series A,"$8,000,000 ",12/1/15
ClearSky Data,https://www.crunchbase.com/organization/clearsky-data,Series A,"$12,000,000 ",1/15/14
ClearSky Data,https://www.crunchbase.com/organization/clearsky-data,Series B,"$27,000,000 ",11/1/15
ClearView Diagnostics,https://www.crunchbase.com/organization/clearview-diagnostics-inc,Seed,"$3,000,000 ",6/1/13
ClearView Social,https://www.crunchbase.com/organization/clearview-social,Seed,"$923,000 ",1/15/16
ClearVoice,https://www.crunchbase.com/organization/clearvoice,Series A,"$4,000,000 ",8/9/17
"Clerio Vision, Inc.",https://www.crunchbase.com/organization/clerio-vision,Series A,"$3,725,000 ",1/13/15
"Clerio Vision, Inc.",https://www.crunchbase.com/organization/clerio-vision,Series B,"$4,999,827 ",1/4/16
Clever,https://www.crunchbase.com/organization/clever,Seed,"$3,000,000 ",10/22/12
Clever,https://www.crunchbase.com/organization/clever,Seed,"$20,000 ",6/1/12
Clever,https://www.crunchbase.com/organization/clever,Series A,"$10,300,000 ",3/25/14
Clever,https://www.crunchbase.com/organization/clever,Series B,"$30,000,000 ",12/16/14
Clever Goats Media,https://www.crunchbase.com/organization/clever-goats-media,Seed,"$300,000 ",2/6/13
CleverPet,https://www.crunchbase.com/organization/cleverpet,Seed,"$1,300,000 ",1/16/16
CleverTap,https://www.crunchbase.com/organization/wizrocket-technologies,Series A,"$8,000,000 ",8/3/15
"Click Therapeutics, Inc.",https://www.crunchbase.com/organization/click-therapeutics,Seed,"$200,000 ",4/15/12
ClickScanShare,https://www.crunchbase.com/organization/clickscanshare,Seed,"$140,000 ",6/1/12
ClickScanShare,https://www.crunchbase.com/organization/clickscanshare,Series A,"$180,000 ",9/1/12
Clicktivated,https://www.crunchbase.com/organization/clicktivated,Seed,"$250,000 ",11/20/13
ClickUp,https://www.crunchbase.com/organization/clickup,Seed,"$150,000 ",12/27/16
Client24,https://www.crunchbase.com/organization/client24,Seed,"$1,000,000 ",7/18/13
Cliently,https://www.crunchbase.com/organization/cliently,Seed,"$300,000 ",8/8/17
ClientSuccess,https://www.crunchbase.com/organization/clientsuccess,Seed,"$2,300,000 ",10/28/15
cliexa,https://www.crunchbase.com/organization/cliexa,Seed,"$340,000 ",10/1/16
cliexa,https://www.crunchbase.com/organization/cliexa,Seed,"$20,000 ",6/26/16
ClikHome,https://www.crunchbase.com/organization/clikhome,Seed,"$20,000 ",8/4/14
ClimaCell Inc.,https://www.crunchbase.com/organization/climacell,Seed,"$2,550,000 ",9/9/16
ClimaCell Inc.,https://www.crunchbase.com/organization/climacell,Seed,"$2,400,000 ",5/1/17
Climb Credit,https://www.crunchbase.com/organization/climb-credit,Series A,"$1,900,000 ",4/1/17
Clinc,https://www.crunchbase.com/organization/clinc-3,Seed,"$1,200,000 ",8/4/16
Clinc,https://www.crunchbase.com/organization/clinc-3,Series A,"$6,300,000 ",2/22/17
Clinicloud,https://www.crunchbase.com/organization/clinicloud,Seed,"$5,000,000 ",9/23/15
Clip Interactive,https://www.crunchbase.com/organization/clip-interactive,Series A,"$1,600,000 ",7/25/12
Clip Interactive,https://www.crunchbase.com/organization/clip-interactive,Series B,"$3,400,000 ",8/14/13
ClipMine,https://www.crunchbase.com/organization/clipmine,Seed,"$1,500,000 ",2/12/14
Clipper Advisor,https://www.crunchbase.com/organization/clipper-advisor-llc,Series A,"$2,500,000 ",8/1/16
Clodico,https://www.crunchbase.com/organization/clodico,Seed,"$20,000 ",3/6/15
Cloneless,https://www.crunchbase.com/organization/cloneless,Seed,"$20,000 ",10/11/13
Closetbox,https://www.crunchbase.com/organization/closetbox,Series A,"$5,500,000 ",3/17/17
Closetbox,https://www.crunchbase.com/organization/closetbox,Series A,"$5,000,000 ",4/18/16
CloseWatch Technologies,https://www.crunchbase.com/organization/closewatch-technologies,Seed,"$1,490,000 ",3/15/15
Cloud Academy Inc.,https://www.crunchbase.com/organization/cloudacademy,Series A,"$3,000,000 ",5/8/15
Cloud Elements,https://www.crunchbase.com/organization/cloud-elements,Series A,"$3,100,000 ",6/17/14
Cloud Elements,https://www.crunchbase.com/organization/cloud-elements,Series B,"$13,000,000 ",1/9/17
Cloud Lending Inc.,https://www.crunchbase.com/organization/cloud-lending,Series A,"$8,000,000 ",9/30/15
Cloud4Wi,https://www.crunchbase.com/organization/witech,Series A,"$4,000,000 ",2/18/14
Cloud4Wi,https://www.crunchbase.com/organization/witech,Series B,"$8,000,000 ",3/18/16
Cloud9 Technologies,https://www.crunchbase.com/organization/cloud9-technologies,Series A,"$30,000,000 ",10/12/16
CloudApp,https://www.crunchbase.com/organization/cloudapp,Seed,"$2,000,000 ",7/28/16
CloudAptitude,https://www.crunchbase.com/organization/cloudaptitude,Seed,"$15,000 ",1/29/12
CloudAtlas,https://www.crunchbase.com/organization/cloudatlas,Seed,"$3,800,000 ",5/15/15
Cloudbeds,https://www.crunchbase.com/organization/cloudbeds,Seed,"$800,000 ",1/17/12
Cloudbeds,https://www.crunchbase.com/organization/cloudbeds,Series A,"$3,140,000 ",7/13/16
Cloudbeds,https://www.crunchbase.com/organization/cloudbeds,Series B,"$9,000,000 ",6/22/17
cloudcade,https://www.crunchbase.com/organization/cloudcade,Seed,"$3,000,000 ",10/8/14
CloudCannon,https://www.crunchbase.com/organization/cloud-cannon,Seed,"$18,000 ",2/26/14
CloudCoreo,https://www.crunchbase.com/organization/cloudcoreo,Seed,"$2,900,000 ",10/11/16
CloudEngage,https://www.crunchbase.com/organization/cloudengage,Series A,"$900,000 ",9/1/13
"CloudGenera, Inc.",https://www.crunchbase.com/organization/cloudgenera-inc,Series A,"$1,800,000 ",3/15/16
CloudGenix,https://www.crunchbase.com/organization/cloudgenix,Series A,"$9,000,000 ",4/30/14
CloudGenix,https://www.crunchbase.com/organization/cloudgenix,Series B,"$25,000,000 ",5/5/15
CloudHealth Technologies,https://www.crunchbase.com/organization/cloudhealth-technologies,Series A,"$4,500,000 ",3/12/13
CloudHealth Technologies,https://www.crunchbase.com/organization/cloudhealth-technologies,Series A,"$3,200,000 ",6/17/14
CloudHealth Technologies,https://www.crunchbase.com/organization/cloudhealth-technologies,Series B,"$12,000,000 ",1/21/15
CloudHealth Technologies,https://www.crunchbase.com/organization/cloudhealth-technologies,Series C,"$20,000,000 ",5/3/16
CloudHealth Technologies,https://www.crunchbase.com/organization/cloudhealth-technologies,Series D,"$46,000,000 ",6/27/17
Cloudistics,https://www.crunchbase.com/organization/cloudistics,Series A,"$15,000,000 ",6/14/16
CloudKPI,https://www.crunchbase.com/organization/cloudkpi,Seed,"$150,000 ",2/1/17
CloudLex Inc.,https://www.crunchbase.com/organization/cloudlex-inc,Series A,"$3,700,000 ",10/17/16
CloudMinds,https://www.crunchbase.com/organization/cloudminds,Series A,"$100,000,000 ",2/23/17
CloudMinds,https://www.crunchbase.com/organization/cloudminds,Series A,"$28,000,000 ",1/1/16
CloudPost Networks,https://www.crunchbase.com/organization/cloudpost-networks,Series A,"$4,000,000 ",6/20/17
CloudSight Inc.,https://www.crunchbase.com/organization/cloudsight,Seed,"$1,690,000 ",11/1/12
CloudTags,https://www.crunchbase.com/organization/cloudtags,Series A,"$2,000,000 ",5/19/15
Clover Health,https://www.crunchbase.com/organization/clover-health,Series A,"$100,000,000 ",9/18/15
Clover Health,https://www.crunchbase.com/organization/clover-health,Series B,"$35,000,000 ",12/16/15
Clover Health,https://www.crunchbase.com/organization/clover-health,Series C,"$160,000,000 ",5/20/16
Clover Health,https://www.crunchbase.com/organization/clover-health,Series D,"$130,000,000 ",5/10/17
Cloverpop,https://www.crunchbase.com/organization/cloverpop,Series A,"$6,200,000 ",10/25/16
Cloze,https://www.crunchbase.com/organization/cloze,Seed,"$1,200,000 ",4/2/12
Clubhouse Software,https://www.crunchbase.com/organization/clubhouse-software,Seed,"$2,000,000 ",9/13/16
Clutch,https://www.crunchbase.com/organization/clutch,Series B,"$5,000,000 ",5/26/15
Clutter,https://www.crunchbase.com/organization/clutter,Seed,"$2,000,000 ",5/18/15
Clutter,https://www.crunchbase.com/organization/clutter,Series A,"$9,000,000 ",10/22/15
Clutter,https://www.crunchbase.com/organization/clutter,Series B,"$20,000,000 ",4/7/16
Clutter,https://www.crunchbase.com/organization/clutter,Series C,"$64,000,000 ",6/13/17
clypd,https://www.crunchbase.com/organization/clypd,Series A,"$8,199,999 ",11/20/13
clypd,https://www.crunchbase.com/organization/clypd,Series A,"$3,200,000 ",3/5/13
clypd,https://www.crunchbase.com/organization/clypd,Series B,"$19,400,000 ",4/9/15
Cnekt,https://www.crunchbase.com/organization/cnekt,Seed,"$200,000 ",5/15/12
CNEX Labs,https://www.crunchbase.com/organization/cnex-labs,Seed,"$2,500,000 ",8/10/13
CNEX Labs,https://www.crunchbase.com/organization/cnex-labs,Series A,"$21,200,000 ",5/5/14
CNEX Labs,https://www.crunchbase.com/organization/cnex-labs,Series B,"$25,100,000 ",4/16/15
CNEX Labs,https://www.crunchbase.com/organization/cnex-labs,Series C,"$12,100,000 ",3/15/17
CNEX Labs,https://www.crunchbase.com/organization/cnex-labs,Series C,"$1,823,000 ",5/30/17
CoachMePlus,https://www.crunchbase.com/organization/coachmeplus,Seed,"$600,000 ",10/8/15
"Coastal Risk Consulting, LLC",https://www.crunchbase.com/organization/coastal-risk-consulting,Seed,"$515,000 ",4/15/15
cobalt.io,https://www.crunchbase.com/organization/cobalt-io,Seed,"$1,500,000 ",8/17/16
Cobrain,https://www.crunchbase.com/organization/cobrain,Seed,"$3,000,000 ",3/18/14
Cobrain,https://www.crunchbase.com/organization/cobrain,Series A,"$4,703,609 ",6/10/16
Cociel Foods,https://www.crunchbase.com/organization/cociel-foods,Seed,"$1,500 ",3/13/16
Cockroach Labs,https://www.crunchbase.com/organization/cockroach-labs,Series A,"$20,250,000 ",3/30/16
Cockroach Labs,https://www.crunchbase.com/organization/cockroach-labs,Series A,"$6,250,000 ",6/4/15
Cockroach Labs,https://www.crunchbase.com/organization/cockroach-labs,Series B,"$27,000,000 ",5/10/17
CoContest,https://www.crunchbase.com/organization/cocontest,Seed,"$200,000 ",7/23/13
"CocuSocial, Inc.",https://www.crunchbase.com/organization/cocusocial,Seed,"$120,000 ",6/6/17
Codeanywhere,https://www.crunchbase.com/organization/codeanywhere,Seed,"$35,000 ",3/12/11
Codeanywhere,https://www.crunchbase.com/organization/codeanywhere,Series A,"$600,000 ",7/15/13
CodeBox.io,https://www.crunchbase.com/organization/codebox-io,Seed,"$150,000 ",1/9/13
CodeCombat,https://www.crunchbase.com/organization/codecombat,Seed,"$100,000 ",10/19/13
Codefied,https://www.crunchbase.com/organization/codefied,Seed,"$1,500,000 ",12/26/13
CodeFights,https://www.crunchbase.com/organization/codefights,Seed,"$2,500,000 ",4/2/15
CodeFights,https://www.crunchbase.com/organization/codefights,Series A,"$10,000,000 ",11/17/16
Codefresh,https://www.crunchbase.com/organization/code-fresh,Series A,"$7,000,000 ",9/29/16
CodeHS,https://www.crunchbase.com/organization/codehs,Seed,"$650,000 ",12/7/16
Codementor,https://www.crunchbase.com/organization/codementor,Seed,"$1,600,000 ",12/14/16
Codementor,https://www.crunchbase.com/organization/codementor,Seed,"$1,200,000 ",8/26/15
Codenvy,https://www.crunchbase.com/organization/codenvy,Series A,"$9,000,000 ",2/26/13
CodersClan,https://www.crunchbase.com/organization/codersclan,Seed,"$820,000 ",5/5/15
CodersClan,https://www.crunchbase.com/organization/codersclan,Seed,"$20,000 ",9/10/13
Codesmith,https://www.crunchbase.com/organization/codesmith-2,Seed,"$1,100,000 ",10/18/16
codeSpark,https://www.crunchbase.com/organization/codespark,Seed,"$2,500,000 ",9/29/16
codeSpark,https://www.crunchbase.com/organization/codespark,Seed,"$1,350,000 ",6/1/15
Codiak Biosciences,https://www.crunchbase.com/organization/codiak-biosciences,Series A,"$31,000,000 ",11/17/15
Codiak Biosciences,https://www.crunchbase.com/organization/codiak-biosciences,Series B,"$61,000,000 ",1/26/16
CoFoundersLab,https://www.crunchbase.com/organization/cofounderslab,Seed,"$250,000 ",1/15/12
Cognical,https://www.crunchbase.com/organization/cognical-2,Series A,"$10,000,000 ",11/21/14
Cognical,https://www.crunchbase.com/organization/cognical-2,Series B,"$12,500,000 ",6/1/16
Cognii,https://www.crunchbase.com/organization/cognii,Seed,"$18,000 ",6/1/13
Cognitive Operational Systems,https://www.crunchbase.com/organization/cognitive-operational-systems,Seed,"$200,000 ",11/9/16
Cognitive Operational Systems,https://www.crunchbase.com/organization/cognitive-operational-systems,Series A,"$2,300,000 ",2/16/17
CognitiveScale,https://www.crunchbase.com/organization/cognitivescale,Series B,"$25,000,000 ",10/4/16
CognitiveScale,https://www.crunchbase.com/organization/cognitivescale,Series B,"$15,000,000 ",6/13/17
Cognotion,https://www.crunchbase.com/organization/cognotion,Seed,"$20,000 ",7/24/14
Cognovi Labs,https://www.crunchbase.com/organization/cognovi-labs,Seed,"$845,000 ",5/30/17
Cohealo,https://www.crunchbase.com/organization/cohealo,Seed,"$1,500,000 ",9/27/13
Cohealo,https://www.crunchbase.com/organization/cohealo,Series A,"$8,650,000 ",10/1/14
Cohealo,https://www.crunchbase.com/organization/cohealo,Series A,"$2,000,000 ",9/7/16
Coherent Path,https://www.crunchbase.com/organization/coherent-path,Series A,"$6,250,000 ",6/24/14
Cohero Health,https://www.crunchbase.com/organization/cohero-health,Seed,"$2,000,000 ",12/22/15
Cohero Health,https://www.crunchbase.com/organization/cohero-health,Series A,"$13,300,000 ",11/2/16
Cohesity,https://www.crunchbase.com/organization/cohesity,Series A,"$15,000,000 ",11/15/13
Cohesity,https://www.crunchbase.com/organization/cohesity,Series B,"$55,000,000 ",6/17/15
Cohesity,https://www.crunchbase.com/organization/cohesity,Series C,"$90,000,000 ",4/4/17
Coin,https://www.crunchbase.com/organization/coin,Series A,"$15,500,000 ",5/5/14
Coin Center,https://www.crunchbase.com/organization/coin-center,Seed,"$1,000,000 ",2/21/17
Coinbase,https://www.crunchbase.com/organization/coinbase,Seed,"$600,000 ",9/12/12
Coinbase,https://www.crunchbase.com/organization/coinbase,Series A,"$6,109,590 ",5/7/13
Coinbase,https://www.crunchbase.com/organization/coinbase,Series B,"$25,000,000 ",12/12/13
Coinbase,https://www.crunchbase.com/organization/coinbase,Series C,"$75,000,000 ",1/20/15
Coinbase,https://www.crunchbase.com/organization/coinbase,Series D,"$100,000,000 ",8/10/17
Coinex-IO,https://www.crunchbase.com/organization/coinex-io,Seed,"$20,000 ",1/17/14
Coinsetter,https://www.crunchbase.com/organization/coinsetter,Series A,"$510,000 ",2/18/14
CoinTent,https://www.crunchbase.com/organization/cointent,Seed,"$1,075,000 ",4/20/15
Collabra,https://www.crunchbase.com/organization/collabra,Seed,"$105,000 ",1/1/13
Collabra,https://www.crunchbase.com/organization/collabra,Seed,"$100,000 ",9/20/16
Collect.it,https://www.crunchbase.com/organization/collect-it,Seed,"$25,000 ",1/1/13
Collective Health,https://www.crunchbase.com/organization/collectivehealth,Series A,"$6,000,000 ",1/31/14
Collective Health,https://www.crunchbase.com/organization/collectivehealth,Series B,"$32,000,000 ",3/18/15
Collective Health,https://www.crunchbase.com/organization/collectivehealth,Series C,"$81,000,000 ",10/20/15
Collective Learning Inc.,https://www.crunchbase.com/organization/collective-learning-inc,Seed,"$20,000 ",7/1/16
Collective Retreats,https://www.crunchbase.com/organization/collective-retreats,Seed,"$2,500,000 ",3/15/17
Collectly,https://www.crunchbase.com/organization/collectly-inc,Seed,"$1,900,000 ",3/21/17
College Ave Student Loans,https://www.crunchbase.com/organization/college-ave-student-loans,Seed,"$5,000,000 ",8/1/14
College Ave Student Loans,https://www.crunchbase.com/organization/college-ave-student-loans,Series A,"$8,400,000 ",6/1/15
College Ave Student Loans,https://www.crunchbase.com/organization/college-ave-student-loans,Series C,"$20,000,000 ",1/28/16
College Ave Student Loans,https://www.crunchbase.com/organization/college-ave-student-loans,Series D,"$30,000,000 ",4/13/17
CollegeVine,https://www.crunchbase.com/organization/collegevine,Series A,"$3,600,000 ",4/26/17
CollegeVine,https://www.crunchbase.com/organization/collegevine,Series A,"$3,100,000 ",11/2/16
CollegeZen,https://www.crunchbase.com/organization/collegezen,Seed,"$25,000 ",10/25/12
Collider,https://www.crunchbase.com/organization/collider-3,Seed,"$365,000 ",11/1/15
Collokia,https://www.crunchbase.com/organization/collokia,Seed,"$1,300,000 ",6/16/16
Collusion,https://www.crunchbase.com/organization/collusion,Seed,"$600,000 ",1/1/13
Color Genomics,https://www.crunchbase.com/organization/color-genomics,Series A,"$15,000,000 ",4/21/15
Color Genomics,https://www.crunchbase.com/organization/color-genomics,Series B,"$45,000,000 ",9/27/16
Color Genomics,https://www.crunchbase.com/organization/color-genomics,Series C,"$52,000,000 ",8/16/17
Combatant Gentlemen,https://www.crunchbase.com/organization/combatant-gentlemen,Seed,"$1,840,000 ",6/19/13
Comedy.com,https://www.crunchbase.com/organization/comedy-com,Seed,"$1,500,000 ",4/5/16
Comeet,https://www.crunchbase.com/organization/comeet,Seed,"$1,200,000 ",6/26/16
Comfy,https://www.crunchbase.com/organization/building-robotics,Seed,"$1,140,000 ",6/1/13
Comfy,https://www.crunchbase.com/organization/building-robotics,Series A,"$6,707,000 ",10/2/14
Comfy,https://www.crunchbase.com/organization/comfy,Series A,"$1,250,000 ",9/1/15
Comfy,https://www.crunchbase.com/organization/building-robotics,Series B,"$12,000,000 ",6/8/16
ComHear,https://www.crunchbase.com/organization/comhear,Series A,"$12,000,000 ",6/5/17
ComicBlitz LLC,https://www.crunchbase.com/organization/comicblitz-llc,Seed,"$101,000 ",2/9/17
COMIVO INC.,https://www.crunchbase.com/organization/comivo,Seed,"$1,000,000 ",10/10/15
Comma,https://www.crunchbase.com/organization/comma,Seed,"$3,100,000 ",4/3/16
CommandHound,https://www.crunchbase.com/organization/cpc-software,Seed,"$250,000 ",12/31/16
Commerce,https://www.crunchbase.com/organization/comr-se,Seed,"$2,000 ",4/22/13
Commerce Sciences,https://www.crunchbase.com/organization/commerce-sciences,Seed,"$4,000,000 ",8/27/15
Commerce Sciences,https://www.crunchbase.com/organization/commerce-sciences,Seed,"$1,800,000 ",7/2/12
Commerce Signals,https://www.crunchbase.com/organization/commerce-signals,Series A,"$4,000,000 ",10/26/15
Commerce Signals,https://www.crunchbase.com/organization/commerce-signals,Series B,"$12,000,000 ",7/17/17
CommercialTribe,https://www.crunchbase.com/organization/commercialtribe,Series A,"$3,200,000 ",4/29/14
CommercialTribe,https://www.crunchbase.com/organization/commercialtribe,Series A,"$750,000 ",2/5/15
CommercialTribe,https://www.crunchbase.com/organization/commercialtribe,Series B,"$6,000,000 ",12/3/15
Commissioner,https://www.crunchbase.com/organization/commissioner,Seed,"$20,000 ",7/1/14
CommLoan.com,https://www.crunchbase.com/organization/commloan-com,Seed,"$2,250,000 ",12/13/16
Common,https://www.crunchbase.com/organization/common-2,Series A,"$7,350,000 ",7/16/15
Common,https://www.crunchbase.com/organization/common-2,Series B,"$16,000,000 ",6/15/16
Common Networks,https://www.crunchbase.com/organization/common-networks,Seed,"$2,300,000 ",3/1/16
Common Networks,https://www.crunchbase.com/organization/common-networks,Series A,"$7,000,000 ",6/15/17
"Community Bound, Inc.",https://www.crunchbase.com/organization/community-bound,Seed,"$22,500 ",6/21/13
Community Sourced Capital,https://www.crunchbase.com/organization/community-sourced-capital,Seed,"$17,000 ",9/1/12
Companion Inc,https://www.crunchbase.com/organization/companion-inc,Seed,"$1,000,000 ",6/7/17
Companion Medical,https://www.crunchbase.com/organization/companion-medical,Series A,"$402,000 ",4/30/14
Companion Medical,https://www.crunchbase.com/organization/companion-medical,Series B,"$3,000,000 ",5/20/15
Compäó»d,https://www.crunchbase.com/organization/comp-d--omaha,Seed,"$20,000 ",5/1/15
Compass,https://www.crunchbase.com/organization/compassinc,Seed,"$8,000,000 ",12/16/12
Compass,https://www.crunchbase.com/organization/compassinc,Series A,"$25,000,000 ",9/25/13
Compass,https://www.crunchbase.com/organization/compassinc,Series B,"$40,000,000 ",7/21/14
Compass,https://www.crunchbase.com/organization/compassinc,Series C,"$60,000,000 ",9/15/15
Compass,https://www.crunchbase.com/organization/compassinc,Series D,"$75,000,000 ",8/31/16
Compass Quality Insight Inc.,https://www.crunchbase.com/organization/compass-quality-insights,Seed,"$2,000,000 ",6/11/13
Compass Therapeutics,https://www.crunchbase.com/organization/compass-therapeutics,Series A,"$50,000,000 ",9/21/16
Compass Therapeutics,https://www.crunchbase.com/organization/compass-therapeutics,Series A,"$4,500,000 ",6/15/15
CompassMD,https://www.crunchbase.com/organization/compassmd,Seed,"$270,000 ",12/7/12
Completed.com,https://www.crunchbase.com/organization/completed-com,Seed,"$50,000 ",1/15/17
CompleteSet,https://www.crunchbase.com/organization/completeset,Seed,"$1,000,000 ",5/16/17
CompleteSet,https://www.crunchbase.com/organization/completeset,Seed,"$650,000 ",12/1/14
CompleteSet,https://www.crunchbase.com/organization/completeset,Seed,"$20,000 ",6/27/16
CompleteSet,https://www.crunchbase.com/organization/completeset,Seed,"$15,000 ",6/30/14
Compliant Cannabis,https://www.crunchbase.com/organization/compliant-cannabis,Seed,"$20,000 ",8/24/15
ComplyAdvantage,https://www.crunchbase.com/organization/comply-advantage,Series A,"$8,200,000 ",10/13/16
Compology,https://www.crunchbase.com/organization/compology,Series A,"$7,000,000 ",4/1/16
Composure,https://www.crunchbase.com/organization/composure,Seed,"$50,000 ",4/3/14
Concept.io,https://www.crunchbase.com/organization/concept-io,Seed,"$1,800,000 ",1/1/12
Concept.io,https://www.crunchbase.com/organization/concept-io,Series A,"$5,400,000 ",7/18/13
"Concierge Solutions, LLC.",https://www.crunchbase.com/organization/concierge-solutions-llc,Seed,"$20,000 ",3/18/16
